sample_id,treatment,motu,reads_raw,found_taxa,common_name,site_code,region_name,region_code,decimal_latitude,decimal_longitude,genus,family,order,class,sample,asv,rank,identity_percentage,evalue,kingdom,phylum,freshwater_only,biogeographical_notes,group,fish_base_url,n_dups,motu_pa,location_name,year,extraction_blank,library,sample_collection_date,swell_m,salinity_psu,collection_method,bottom_depth_m,seagrass_presence,seagrass_notes,describe_transect,notes,temperature_c,notes_about_sample,filtration_comments,region_name_label,region_code_label,dna_extraction_date,extraction_notes,pcr_blank
exblank-2021-015,Extraction blank,motu16,13932,Platichthys stellatus,Starry flounder,NA,NA,NA,NA,NA,Platichthys,Pleuronectidae,Pleuronectiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exblank-2021-015,Extraction blank,motu152,26354,Enophrys bison,Buffalo sculpin,NA,NA,NA,NA,NA,Enophrys,Cottidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exblank-2021-019,Extraction blank,motu813,117,Unknown bacteria,Bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0005,Field blank,motu18,16267,No BLAST hit,No BLAST hit,NC_E,CA_NC,CA_NCa,38.10503,-122.8484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0014,Field blank,motu85,23995,Balaenoptera physalus,Fin whale,NC_WP,CA_SF,CA_NCa,38.31916025,-123.052735,Balaenoptera,Balaenopteridae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0014,Field blank,motu85,16844,Balaenoptera physalus,Fin whale,NC_WP,CA_SF,CA_NCa,38.31916025,-123.052735,Balaenoptera,Balaenopteridae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0014,Field blank,motu58,4242,No BLAST hit,No BLAST hit,NC_WP,CA_SF,CA_NCa,38.31916025,-123.052735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0034,Field blank,motu1905,1,No BLAST hit,No BLAST hit,YB_SBS,OR_YB,OR_YB,44.612145000000005,-124.013467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0037,Field blank,motu18,2,No BLAST hit,No BLAST hit,YB_SBN,OR_YB,OR_YB,44.6228154375,-124.0238329375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0037,Field blank,motu3,12086,Clupea pallasii,Pacific herring,YB_SBN,OR_YB,OR_YB,44.6228154375,-124.0238329375,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0049,Field blank,motu18,898,No BLAST hit,No BLAST hit,YB_IF,OR_YB,OR_YB,44.618267,-124.03014433333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0061,Field blank,motu18,12334,No BLAST hit,No BLAST hit,HG_LIE,BC_HG,BC_HGa,52.228491,-131.27842766666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0067,Field blank,motu18,4,No BLAST hit,No BLAST hit,HG_SB,BC_HG,BC_HGa,52.631124,-131.60783125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0067,Field blank,motu181,14202,No BLAST hit,No BLAST hit,HG_SB,BC_HG,BC_HGa,52.631124,-131.60783125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0106,Field blank,motu63,29582,Salmo salar,Atlantic salmon,WB_DP,WA_WB,WA_WB,46.995355000000004,-124.1272775,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0121,Field blank,motu18,266,No BLAST hit,No BLAST hit,WB_SB,WA_WB,WA_WB,46.879095,-124.07972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0121,Field blank,motu272,735,No BLAST hit,No BLAST hit,WB_SB,WA_WB,WA_WB,46.879095,-124.07972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0121,Field blank,motu1178,62,Unknown organism,Unknown organism,WB_SB,WA_WB,WA_WB,46.879095,-124.07972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0126,Field blank,motu18,57,No BLAST hit,No BLAST hit,WB_BC,WA_WB,WA_WB,46.61546952380952,-123.94466761904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0126,Field blank,motu1226,4,Unknown organism,Unknown organism,WB_BC,WA_WB,WA_WB,46.61546952380952,-123.94466761904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0150,Field blank,motu2,2,Leptocottus armatus,Pacific staghorn sculpin,SE_SH,AK_SE,AK_SE,55.5986045,-133.161292,Leptocottus,Cottidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0150,Field blank,motu18,1110,No BLAST hit,No BLAST hit,SE_SH,AK_SE,AK_SE,55.5986045,-133.161292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0150,Field blank,motu103,61778,Salmo salar,Atlantic salmon,SE_SH,AK_SE,AK_SE,55.5986045,-133.161292,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0150,Field blank,motu75,135,Sus scrofa,Pig,SE_SH,AK_SE,AK_SE,55.5986045,-133.161292,Sus,Suidae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0150,Field blank,motu75,2392,Sus scrofa,Pig,SE_SH,AK_SE,AK_SE,55.5986045,-133.161292,Sus,Suidae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu18,2,No BLAST hit,No BLAST hit,SE_NS,AK_SE,AK_SE,55.708296,-133.341115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu75,47851,Sus scrofa,Pig,SE_NS,AK_SE,AK_SE,55.708296,-133.341115,Sus,Suidae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu75,68377,Sus scrofa,Pig,SE_NS,AK_SE,AK_SE,55.708296,-133.341115,Sus,Suidae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0171,Field blank,motu1226,33,Unknown organism,Unknown organism,SD_SI,CA_SD,CA_SD,32.714169,-117.22522566666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0181,Field blank,motu1359,122,Unknown bacteria,Unknown bacteria,JN_FC,AK_JN,AK_JN,58.331876375,-134.60853895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu63,88128,Salmo salar,Atlantic salmon,JN_SB,AK_JN,AK_JN,58.62645875,-134.9406095,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu103,12383,Salmo salar,Atlantic salmon,JN_SB,AK_JN,AK_JN,58.62645875,-134.9406095,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0196,Field blank,motu21,48912,Ammodytes personatus,Pacific sandlance,JN_EC,AK_JN,AK_JN,58.6628818,-134.91603005000002,Ammodytes,Ammodytidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0205,Field blank,motu1226,80,Unknown organism,Unknown organism,JN_BC,AK_JN,AK_JN,58.385519775,-134.649318925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0210,Field blank,motu1,5,Cymatogaster aggregata,Shiner perch,SE_GK,AK_SE,AK_SE,55.7402015,-133.3119625,Cymatogaster,Embiotocidae,Ovalentaria incertae sedis,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0210,Field blank,motu3,16478,Clupea pallasii,Pacific herring,SE_GK,AK_SE,AK_SE,55.7402015,-133.3119625,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0210,Field blank,motu18,3558,No BLAST hit,No BLAST hit,SE_GK,AK_SE,AK_SE,55.7402015,-133.3119625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0210,Field blank,motu47,118564,Thunnus alalunga,Albacore,SE_GK,AK_SE,AK_SE,55.7402015,-133.3119625,Thunnus,Scombridae,Scombriformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0210,Field blank,motu3,17794,Clupea pallasii,Pacific herring,SE_GK,AK_SE,AK_SE,55.7402015,-133.3119625,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0216,Field blank,motu11,1,Oncorhynchus keta,Chum salmon,PS_BV,WA_PS,WA_PSa,48.48575823,-122.482358641675,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0221,Field blank,motu1264,107,Unknown bacteria,Bacteria,PS_SH,WA_PS,WA_PSa,48.5049834175,-122.6720722775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0231,Field blank,motu2,4,Leptocottus armatus,Pacific staghorn sculpin,LA_LN,CA_LA,CA_LA,33.6021545,-117.8826474,Leptocottus,Cottidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0231,Field blank,motu3,78813,Clupea pallasii,Pacific herring,LA_LN,CA_LA,CA_LA,33.6021545,-117.8826474,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0231,Field blank,motu3,359,Clupea pallasii,Pacific herring,LA_LN,CA_LA,CA_LA,33.6021545,-117.8826474,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0231,Field blank,motu3,503,Clupea pallasii,Pacific herring,LA_LN,CA_LA,CA_LA,33.6021545,-117.8826474,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0284,Field blank,motu3,41437,Clupea pallasii,Pacific herring,CC_CHP,BC_CC,BC_CC,51.60867225,-128.11100075,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0284,Field blank,motu3,90,Clupea pallasii,Pacific herring,CC_CHP,BC_CC,BC_CC,51.60867225,-128.11100075,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0294,Field blank,motu75,35746,Sus scrofa,Pig,CC_KIS2,BC_CC,BC_CC,51.83672166666666,-128.23928866666668,Sus,Suidae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0296,Field blank,motu18,1849,No BLAST hit,No BLAST hit,CC_GOG1,BC_CC,BC_CC,51.92385,-128.468065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0296,Field blank,motu12,11151,Oncorhynchus gorbuscha,Pink salmon,CC_GOG1,BC_CC,BC_CC,51.92385,-128.468065,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0296,Field blank,motu154,25296,Oncorhynchus nerka,Sockeye salmon,CC_GOG1,BC_CC,BC_CC,51.92385,-128.468065,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0296,Field blank,motu344,2530,Bacillariophyta,Diatom,CC_GOG1,BC_CC,BC_CC,51.92385,-128.468065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0304,Field blank,motu18,86,No BLAST hit,No BLAST hit,CC_FAN3,BC_CC,BC_CC,52.0534175,-128.40325074999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0304,Field blank,motu11,42667,Oncorhynchus keta,Chum salmon,CC_FAN3,BC_CC,BC_CC,52.0534175,-128.40325074999998,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0304,Field blank,motu21,32102,Ammodytes personatus,Pacific sandlance,CC_FAN3,BC_CC,BC_CC,52.0534175,-128.40325074999998,Ammodytes,Ammodytidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0304,Field blank,motu9,10,Engraulis mordax,Californian anchovy,CC_FAN3,BC_CC,BC_CC,52.0534175,-128.40325074999998,Engraulis,Engraulidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0304,Field blank,motu63,48806,Salmo salar,Atlantic salmon,CC_FAN3,BC_CC,BC_CC,52.0534175,-128.40325074999998,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0304,Field blank,motu29,4,Sebastes,Rockfish species,CC_FAN3,BC_CC,BC_CC,52.0534175,-128.40325074999998,Sebastes,Sebastidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0304,Field blank,motu46,5,Scorpaenichthys marmoratus,Cabezon,CC_FAN3,BC_CC,BC_CC,52.0534175,-128.40325074999998,Scorpaenichthys,Jordaniidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0304,Field blank,motu21,31279,Ammodytes personatus,Pacific sandlance,CC_FAN3,BC_CC,BC_CC,52.0534175,-128.40325074999998,Ammodytes,Ammodytidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0304,Field blank,motu117,7,Trachurus symmetricus,Pacific jack mackerel,CC_FAN3,BC_CC,BC_CC,52.0534175,-128.40325074999998,Trachurus,Carangidae,Carangiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
