sample_id,treatment,motu,reads_raw,found_taxa,common_name,site_code,region_name,region_code,decimal_latitude,decimal_longitude,genus,family,order,class,asv,rank,identity_percentage,evalue,kingdom,phylum,freshwater_only,motu_pa,location_name,year,extraction_blank,library,sample_collection_date,swell_m,salinity_psu,collection_method,bottom_depth_m,seagrass_presence,seagrass_notes,describe_transect,notes,temperature_c,notes_about_sample,filtration_comments,region_name_label,region_code_label,dna_extraction_date,extraction_notes,pcr_blank
pecoe-0059,Field blank,motu3,348,Clupea pallasii,Pacific herring,HG_RI,BC_HG,BC_HGa,52.57346275,-131.39581525,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0061,Field blank,motu50,39215,Aulorhynchus flavidus,Tube-snout,HG_LIE,BC_HG,BC_HGa,52.228491,-131.27842766666666,Aulorhynchus,Aulorhynchidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0061,Field blank,motu78,13208,Salmo salar,Atlantic salmon,HG_LIE,BC_HG,BC_HGa,52.228491,-131.27842766666666,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0061,Field blank,motu780,562,No BLAST hit,No BLAST hit,HG_LIE,BC_HG,BC_HGa,52.228491,-131.27842766666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0061,Field blank,motu1214,225,Aulorhynchus flavidus,Tube-snout,HG_LIE,BC_HG,BC_HGa,52.228491,-131.27842766666666,Aulorhynchus,Aulorhynchidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0067,Field blank,motu61,554,No BLAST hit,No BLAST hit,HG_SB,BC_HG,BC_HGa,52.631124,-131.60783125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0067,Field blank,motu61,259,No BLAST hit,No BLAST hit,HG_SB,BC_HG,BC_HGa,52.631124,-131.60783125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0067,Field blank,motu61,169,No BLAST hit,No BLAST hit,HG_SB,BC_HG,BC_HGa,52.631124,-131.60783125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0077,Field blank,motu78,20108,Salmo salar,Atlantic salmon,PP_K,BC_PP,BC_PP,49.104117,-125.748433,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0077,Field blank,motu15,5005,Oncorhynchus gorbuscha,Pink salmon,PP_K,BC_PP,BC_PP,49.104117,-125.748433,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0077,Field blank,motu3,4769,Clupea pallasii,Pacific herring,PP_K,BC_PP,BC_PP,49.104117,-125.748433,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu19,3666,Ammodytes personatus,Pacific sandlance,PP_O,BC_PP,BC_PP,49.171917,-125.915683,Ammodytes,Ammodytidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu78,4541,Salmo salar,Atlantic salmon,PP_O,BC_PP,BC_PP,49.171917,-125.915683,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu61,835,No BLAST hit,No BLAST hit,PP_O,BC_PP,BC_PP,49.171917,-125.915683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu78,3293,Salmo salar,Atlantic salmon,PP_O,BC_PP,BC_PP,49.171917,-125.915683,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu78,873,Salmo salar,Atlantic salmon,PP_O,BC_PP,BC_PP,49.171917,-125.915683,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu78,276,Salmo salar,Atlantic salmon,PP_O,BC_PP,BC_PP,49.171917,-125.915683,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0086,Field blank,motu11,333,Oncorhynchus keta,Chum salmon,PP_M,BC_PP,BC_PP,49.1844,-125.884767,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0091,Field blank,motu28,15892,Hexagrammos decagrammus,Kelp greenling,PP_S,BC_PP,BC_PP,49.19295,-125.862383,Hexagrammos,Hexagrammidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0091,Field blank,motu78,1440,Salmo salar,Atlantic salmon,PP_S,BC_PP,BC_PP,49.19295,-125.862383,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0091,Field blank,motu913,401,Oncorhynchus keta,Chum salmon,PP_S,BC_PP,BC_PP,49.19295,-125.862383,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu1,16,Cymatogaster aggregata,Shiner perch,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Cymatogaster,Embiotocidae,Ovalentaria incertae sedis,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu5,10,Gasterosteus aculeatus,Three-spined stickleback,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Gasterosteus,Gasterosteidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu16,17,Pleuronectidae,Flatfish family,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,NA,Pleuronectidae,Pleuronectiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu19,8377,Ammodytes personatus,Pacific sandlance,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Ammodytes,Ammodytidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu32,14,Phanerodon vacca,Pile perch,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Phanerodon,Embiotocidae,Ovalentaria incertae sedis,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu28,14,Hexagrammos decagrammus,Kelp greenling,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Hexagrammos,Hexagrammidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu11,40,Oncorhynchus keta,Chum salmon,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu21,8,Anoplarchus,Cockscomb species,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Anoplarchus,Stichaeidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu19,17889,Ammodytes personatus,Pacific sandlance,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Ammodytes,Ammodytidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0106,Field blank,motu11,177,Oncorhynchus keta,Chum salmon,WB_DP,WA_WB,WA_WB,46.995355000000004,-124.1272775,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0111,Field blank,motu37,16652,Oncorhynchus kisutch,Coho salmon,WB_BC,WA_WB,WA_WB,46.61546952380952,-123.94466761904762,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0111,Field blank,motu78,19889,Salmo salar,Atlantic salmon,WB_BC,WA_WB,WA_WB,46.61546952380952,-123.94466761904762,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0111,Field blank,motu222,1361,Salmo salar,Atlantic salmon,WB_BC,WA_WB,WA_WB,46.61546952380952,-123.94466761904762,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0116,Field blank,motu11,35949,Oncorhynchus keta,Chum salmon,WB_WR,WA_WB,WA_WB,46.690556666666666,-123.90643,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0126,Field blank,motu3,14115,Clupea pallasii,Pacific herring,WB_BC,WA_WB,WA_WB,46.61546952380952,-123.94466761904762,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0126,Field blank,motu3,2266,Clupea pallasii,Pacific herring,WB_BC,WA_WB,WA_WB,46.61546952380952,-123.94466761904762,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0126,Field blank,motu3,561,Clupea pallasii,Pacific herring,WB_BC,WA_WB,WA_WB,46.61546952380952,-123.94466761904762,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0135,Field blank,motu83,45,Sus scrofa,Pig,SE_NZ,AK_SE,AK_SE,55.2476495,-132.879147,Sus,Suidae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0145,Field blank,motu316,3367,Unknown organism,Unknown organism,SE_NF,AK_SE,AK_SE,55.496398,-133.167232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0145,Field blank,motu583,976,Unknown organism,Unknown organism,SE_NF,AK_SE,AK_SE,55.496398,-133.167232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0150,Field blank,motu61,1209,No BLAST hit,No BLAST hit,SE_SH,AK_SE,AK_SE,55.5986045,-133.161292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu61,152,No BLAST hit,No BLAST hit,SE_NS,AK_SE,AK_SE,55.708296,-133.341115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu83,128,Sus scrofa,Pig,SE_NS,AK_SE,AK_SE,55.708296,-133.341115,Sus,Suidae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu202,2976,Rhizosolenia  setigera,Diatom,SE_NS,AK_SE,AK_SE,55.708296,-133.341115,Rhizosolenia,Rhizosoleniaceae,Rhizosoleniales,Coscinodiscophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu543,1141,gamma proteobacterium,Bacteria,SE_NS,AK_SE,AK_SE,55.708296,-133.341115,NA,NA,NA,Gammaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu553,1105,Deltaproteobacteria,Bacteria,SE_NS,AK_SE,AK_SE,55.708296,-133.341115,NA,NA,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0162,Field blank,motu3,389,Clupea pallasii,Pacific herring,SD_FI,CA_SD,CA_SD,32.777724666666664,-117.22390933333334,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0162,Field blank,motu544,100,No BLAST hit,No BLAST hit,SD_FI,CA_SD,CA_SD,32.777724666666664,-117.22390933333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0166,Field blank,motu851,467,No BLAST hit,No BLAST hit,SD_CV,CA_SD,CA_SD,32.96051826666667,-117.10765493333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0171,Field blank,motu82,430,Balaenoptera physalus,Fin whale,SD_SI,CA_SD,CA_SD,32.714169,-117.22522566666666,Balaenoptera,Balaenopteridae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu1,19,Cymatogaster aggregata,Shiner perch,JN_SB,AK_JN,AK_JN,58.62645875,-134.9406095,Cymatogaster,Embiotocidae,Ovalentaria incertae sedis,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu5,11,Gasterosteus aculeatus,Three-spined stickleback,JN_SB,AK_JN,AK_JN,58.62645875,-134.9406095,Gasterosteus,Gasterosteidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu4,17,Atherinopsis,Atherinopsis silverside species,JN_SB,AK_JN,AK_JN,58.62645875,-134.9406095,Atherinopsis,Atherinidae,Atheriniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu15,11,Oncorhynchus gorbuscha,Pink salmon,JN_SB,AK_JN,AK_JN,58.62645875,-134.9406095,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu65,36765,Artedius harringtoni,Scalyhead sculpin,JN_SB,AK_JN,AK_JN,58.62645875,-134.9406095,Artedius,Cottidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0195,Field blank,motu3,5860,Clupea pallasii,Pacific herring,JN_AN,AK_JN,AK_JN,58.3810730625,-134.694368,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0195,Field blank,motu490,1402,No BLAST hit,No BLAST hit,JN_AN,AK_JN,AK_JN,58.3810730625,-134.694368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0195,Field blank,motu38,1257,Cottus,Cottus sculpin species,JN_AN,AK_JN,AK_JN,58.3810730625,-134.694368,Cottus,Cottidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0195,Field blank,motu158,634,Bacillariophyta,Diatom,JN_AN,AK_JN,AK_JN,58.3810730625,-134.694368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0196,Field blank,motu61,66,No BLAST hit,No BLAST hit,JN_EC,AK_JN,AK_JN,58.6628818,-134.91603005000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0196,Field blank,motu1636,114,No BLAST hit,No BLAST hit,JN_EC,AK_JN,AK_JN,58.6628818,-134.91603005000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0196,Field blank,motu2086,23,No BLAST hit,No BLAST hit,JN_EC,AK_JN,AK_JN,58.6628818,-134.91603005000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
