sample,asv,reads_raw,sample_id,motu,found_taxa,common_name,rank,identity_percentage,evalue,in_ctrl_field,reads_adjust_field,ctrl_field0,ctrl_fieldlab0,reads_adjust_lab,ctrl_lab0,kingdom,phylum,class,order,family,genus,freshwater_only,biogeographical_notes,group,fish_base_url,n_dups,motu_pa,region_code,region_name,site_code,treatment,location_name,decimal_latitude,decimal_longitude,year,extraction_blank,library,dna_extraction_date,sample_collection_date,swell_m,tide,wind,rain,salinity_psu,collection_method,bottom_depth_m,seagrass_presence,seagrass_notes,describe_transect,notes,temperature_c,organization_participants,bsaredo,reads_adjust
pecoe001,ASV3511,104,pecoe-0001,motu1474,Atherinops affinis,Topsmelt silverside,species,95.238,2.06e-70,NA,104,no,no,104,no,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinidae,Atherinopsis,0,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,104
pecoe001,ASV3543,99,pecoe-0001,motu1497,Cymatogaster aggregata,Shiner perch,species,98.214,2.6300000000000003e-79,NA,99,no,no,99,no,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0,NA,Perches,https://www.fishbase.ca/summary/Cymatogaster-aggregata.html,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,99
pecoe002,ASV2,8432,pecoe-0002,motu2,Leptocottus armatus,Pacific staghorn sculpin,species,100,2.05e-85,NA,8432,no,no,8432,no,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Leptocottus,0,NA,Sculpins,https://www.fishbase.ca/summary/4112,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,8432
pecoe002,ASV4,27675,pecoe-0002,motu4,Atherinops affinis,Topsmelt silverside,species,95.858,1.23e-72,NA,27675,no,no,27675,no,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinidae,Atherinopsis,0,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,27675
pecoe002,ASV32,8674,pecoe-0002,motu30,Clevelandia ios,Arrow goby,species,100,2.61e-84,NA,8674,no,no,8674,no,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Clevelandia,0,"South to Rivers Inlet, BC",Other,https://www.fishbase.ca/summary/3840,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,8674
pecoe002,ASV60,15811,pecoe-0002,motu55,Acanthogobius flavimanus,Yellowfin goby,species,100,9.32e-84,NA,15811,no,no,15811,no,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0,japan,NA,NA,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,15811
pecoe002,ASV79,9424,pecoe-0002,motu9,Syngnathus californiensis,Bay pipefish,species,100,9.32e-84,NA,9424,no,no,9424,no,Eukaryota,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Syngnathus,0,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,9424
pecoe002,ASV281,280,pecoe-0002,motu144,Pelagibacterales bacterium,Bacteria,offtarget,100,2.31e-131,NA,280,no,no,280,no,Bacteria,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,NA,NA,NA,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,280
pecoe002,ASV1294,897,pecoe-0002,motu30,Clevelandia ios,Arrow goby,species,100,2.61e-84,NA,897,no,no,897,no,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Clevelandia,0,"South to Rivers Inlet, BC",Other,https://www.fishbase.ca/summary/3840,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,897
pecoe002,ASV1697,558,pecoe-0002,motu55,Acanthogobius flavimanus,Yellowfin goby,species,100,9.32e-84,NA,558,no,no,558,no,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0,japan,NA,NA,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,558
pecoe003,ASV1,6242,pecoe-0003,motu1,Cymatogaster aggregata,Shiner perch,species,100,2.61e-84,NA,6242,no,no,6242,no,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0,NA,Perches,https://www.fishbase.ca/summary/Cymatogaster-aggregata.html,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,6242
pecoe003,ASV2,8043,pecoe-0003,motu2,Leptocottus armatus,Pacific staghorn sculpin,species,100,2.05e-85,NA,8043,no,no,8043,no,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Leptocottus,0,NA,Sculpins,https://www.fishbase.ca/summary/4112,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,8043
pecoe003,ASV6,2426,pecoe-0003,motu6,Gasterosteus aculeatus,Three-spined stickleback,species,100,7.31e-85,NA,2426,no,no,2426,no,Eukaryota,Chordata,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,0,NA,Other,https://www.fishbase.ca/summary/Gasterosteus-aculeatus.html,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,2426
pecoe003,ASV4,11612,pecoe-0003,motu4,Atherinops affinis,Topsmelt silverside,species,95.858,1.23e-72,NA,11612,no,no,11612,no,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinidae,Atherinopsis,0,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,11612
pecoe003,ASV9,11411,pecoe-0003,motu9,Syngnathus californiensis,Bay pipefish,species,100,9.32e-84,NA,11411,no,no,11411,no,Eukaryota,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Syngnathus,0,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,11411
pecoe003,ASV32,4152,pecoe-0003,motu30,Clevelandia ios,Arrow goby,species,100,2.61e-84,NA,4152,no,no,4152,no,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Clevelandia,0,"South to Rivers Inlet, BC",Other,https://www.fishbase.ca/summary/3840,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,4152
pecoe003,ASV66,13165,pecoe-0003,motu60,Gobiiformes,Goby order,order,89.697,2.72e-54,NA,13165,no,no,13165,no,Eukaryota,Chordata,Teleostei,Gobiiformes,NA,NA,0,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,13165
pecoe003,ASV235,723,pecoe-0003,motu144,Pelagibacterales bacterium,Bacteria,offtarget,100,2.31e-131,NA,723,no,no,723,no,Bacteria,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,NA,NA,NA,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,723
pecoe003,ASV294,3783,pecoe-0003,motu170,Gillichthys mirabilis,Longjaw mudsucker,species,100,2.61e-84,NA,3783,no,no,3783,no,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Gillichthys,0,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,3783
pecoe003,ASV906,1650,pecoe-0003,motu30,Clevelandia ios,Arrow goby,species,100,2.61e-84,NA,1650,no,no,1650,no,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Clevelandia,0,"South to Rivers Inlet, BC",Other,https://www.fishbase.ca/summary/3840,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,1650
pecoe003,ASV1369,819,pecoe-0003,motu30,Clevelandia ios,Arrow goby,species,100,2.61e-84,NA,819,no,no,819,no,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Clevelandia,0,"South to Rivers Inlet, BC",Other,https://www.fishbase.ca/summary/3840,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,819
pecoe003,ASV3062,168,pecoe-0003,motu1235,Roseobacteraceae,Bacteria,offtarget,100,2.31e-131,NA,168,no,no,168,no,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Lentibacter,NA,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,168
pecoe003,ASV3157,153,pecoe-0003,motu1,Cymatogaster aggregata,Shiner perch,species,100,2.61e-84,NA,153,no,no,153,no,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0,NA,Perches,https://www.fishbase.ca/summary/Cymatogaster-aggregata.html,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,153
pecoe004,ASV7,56,pecoe-0004,motu7,Bos,Cow,offtarget,100,2.61e-84,NA,56,no,no,56,no,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,Library1,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,NA,56
