asv,reads_raw,sample_id,motu,found_taxa,common_name,rank,identity_percentage,evalue,in_ctrl_field,reads_adjust_field,ctrl_field0,ctrl_fieldlab0,reads_adjust_lab,ctrl_lab0,kingdom,phylum,class,order,family,genus,freshwater_only,biogeographical_notes,group,fish_base_url,n_dups,motu_pa,region_code,region_name,site_code,treatment,location_name,decimal_latitude,decimal_longitude,year,extraction_blank,library,dna_extraction_date,sample_collection_date,swell_m,tide,wind,rain,salinity_psu,collection_method,bottom_depth_m,seagrass_presence,seagrass_notes,describe_transect,notes,temperature_c,collection_time_24h,notes_about_sample,lab_notes,extraction_notes,organization_participants,reads_adjust
ASV216,407,pecoe-0459,motu137,Unknown organism,Unknown organism,offtarget,99.605,1.0799999999999996e-129,NA,407,no,no,407,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,439,NA,NA,NA,"Lia, Jessica, Emily",407
ASV616,695,pecoe-0459,motu291,Unknown organism,Unknown organism,offtarget,100,2.31e-131,NA,695,no,no,695,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,439,NA,NA,NA,"Lia, Jessica, Emily",695
ASV3,285,pecoe-0460,motu3,Clupea pallasii,Pacific herring,species,100,1.6e-86,yes,230,no,no,285,no,Eukaryota,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,0,NA,Forage fish,https://www.fishbase.ca/summary/Clupea-pallasii+pallasii.html,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,NA,sample not collected,NA,"Sterivex was dry, no buffer and looked like no sample had been filtered through","Lia, Jessica, Emily",230
ASV5,506,pecoe-0460,motu5,Pholis laeta,Crescent gunnel,species,100,2.61e-84,NA,506,no,no,506,no,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Pholis,0,north to northern California,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Pholis-laeta.html,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,NA,sample not collected,NA,"Sterivex was dry, no buffer and looked like no sample had been filtered through","Lia, Jessica, Emily",506
ASV46,7,pecoe-0460,motu44,Hippoglossus stenolepis,Pacific halibut,species,100,7.31e-85,NA,7,no,no,7,no,Eukaryota,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossus,0,NA,NA,NA,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,NA,sample not collected,NA,"Sterivex was dry, no buffer and looked like no sample had been filtered through","Lia, Jessica, Emily",7
ASV610,16,pecoe-0460,motu289,Unknown organism,Unknown organism,offtarget,99.605,1.0799999999999996e-129,NA,16,no,no,16,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,NA,sample not collected,NA,"Sterivex was dry, no buffer and looked like no sample had been filtered through","Lia, Jessica, Emily",16
ASV2805,18,pecoe-0460,motu1109,Leuroglossus schmidti,Northern smoothtongue,species,100,7.31e-85,yes,0,yes,yes,18,no,Eukaryota,Chordata,Teleostei,Argentiniformes,Bathylagidae,Leuroglossus,0,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,NA,sample not collected,NA,"Sterivex was dry, no buffer and looked like no sample had been filtered through","Lia, Jessica, Emily",0
ASV3891,34,pecoe-0460,motu1714,Unknown bacteria,Unknown bacteria,offtarget,100,2.31e-131,NA,34,no,no,34,no,Bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,NA,sample not collected,NA,"Sterivex was dry, no buffer and looked like no sample had been filtered through","Lia, Jessica, Emily",34
ASV1,14,pecoe-0461,motu1,Cymatogaster aggregata,Shiner perch,species,100,2.61e-84,yes,0,yes,yes,14,no,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0,NA,Perches,https://www.fishbase.ca/summary/Cymatogaster-aggregata.html,1,1,AK_SE,AK_SE,SE_NS,Field blank,Nossuk Bay,55.708296,-133.341115,2022,exblank-2022-028,Library 1,45028,2022-07-13 00:00:00,0-0.5,ebb,none,light,27.9,by_boat,1.25,present,NA,NA,NA,13.1,525,NA,NA,"clogged column, required extra spins","Lia, Jessica, Emily",0
ASV3,8,pecoe-0461,motu3,Clupea pallasii,Pacific herring,species,100,1.6e-86,yes,0,yes,yes,8,no,Eukaryota,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,0,NA,Forage fish,https://www.fishbase.ca/summary/Clupea-pallasii+pallasii.html,1,1,AK_SE,AK_SE,SE_NS,Field blank,Nossuk Bay,55.708296,-133.341115,2022,exblank-2022-028,Library 1,45028,2022-07-13 00:00:00,0-0.5,ebb,none,light,27.9,by_boat,1.25,present,NA,NA,NA,13.1,525,NA,NA,"clogged column, required extra spins","Lia, Jessica, Emily",0
ASV6,47,pecoe-0461,motu6,Gasterosteus aculeatus,Three-spined stickleback,species,100,7.31e-85,yes,0,yes,yes,47,no,Eukaryota,Chordata,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,0,NA,Other,https://www.fishbase.ca/summary/Gasterosteus-aculeatus.html,1,1,AK_SE,AK_SE,SE_NS,Field blank,Nossuk Bay,55.708296,-133.341115,2022,exblank-2022-028,Library 1,45028,2022-07-13 00:00:00,0-0.5,ebb,none,light,27.9,by_boat,1.25,present,NA,NA,NA,13.1,525,NA,NA,"clogged column, required extra spins","Lia, Jessica, Emily",0
ASV8,26,pecoe-0461,motu8,Pholis ornata,Saddleback gunnel,species,100,2.61e-84,yes,0,yes,yes,26,no,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Pholis,0,north to 36°,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/3806,1,1,AK_SE,AK_SE,SE_NS,Field blank,Nossuk Bay,55.708296,-133.341115,2022,exblank-2022-028,Library 1,45028,2022-07-13 00:00:00,0-0.5,ebb,none,light,27.9,by_boat,1.25,present,NA,NA,NA,13.1,525,NA,NA,"clogged column, required extra spins","Lia, Jessica, Emily",0
ASV14,12,pecoe-0461,motu14,Oncorhynchus keta,Chum salmon,species,100,7.31e-85,yes,0,yes,yes,12,no,Eukaryota,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,0,NA,Salmon,https://www.fishbase.ca/summary/Oncorhynchus-keta.html,1,1,AK_SE,AK_SE,SE_NS,Field blank,Nossuk Bay,55.708296,-133.341115,2022,exblank-2022-028,Library 1,45028,2022-07-13 00:00:00,0-0.5,ebb,none,light,27.9,by_boat,1.25,present,NA,NA,NA,13.1,525,NA,NA,"clogged column, required extra spins","Lia, Jessica, Emily",0
ASV20,9,pecoe-0461,motu20,Lumpenus sagitta,Snake prickleback,species,100,7.31e-85,yes,0,yes,yes,9,no,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Lumpenus,0,north to San Francisco,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Lumpenus-sagitta.html,1,1,AK_SE,AK_SE,SE_NS,Field blank,Nossuk Bay,55.708296,-133.341115,2022,exblank-2022-028,Library 1,45028,2022-07-13 00:00:00,0-0.5,ebb,none,light,27.9,by_boat,1.25,present,NA,NA,NA,13.1,525,NA,NA,"clogged column, required extra spins","Lia, Jessica, Emily",0
ASV48,8,pecoe-0461,motu46,Cottus,Cottus sculpin species,genus,100,7.31e-85,yes,0,yes,yes,8,no,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Cottus,0,NA,NA,NA,1,1,AK_SE,AK_SE,SE_NS,Field blank,Nossuk Bay,55.708296,-133.341115,2022,exblank-2022-028,Library 1,45028,2022-07-13 00:00:00,0-0.5,ebb,none,light,27.9,by_boat,1.25,present,NA,NA,NA,13.1,525,NA,NA,"clogged column, required extra spins","Lia, Jessica, Emily",0
