found_taxa,common_name,rank,motu,asv,found_taxa_asv,common_name_asv,rank_asv,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only
Ammodytes personatus,Pacific sandlance,species,motu19,ASV1104,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV1188,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV1416,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV1520,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV1728,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV1785,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV1897,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV1945,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV2021,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV2261,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV2335,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV2465,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV2638,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV2699,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV2849,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV3032,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV3185,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV3202,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV3305,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV3369,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV3672,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV3729,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV3812,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV2669,Ammodytes personatus,Pacific sandlance,species,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV3449,Ammodytes personatus,Pacific sandlance,species,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV19,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu254,ASV598,Ammodytes personatus,Pacific sandlance,species,98.225,7.36e-80,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu254,ASV1576,Ammodytes personatus,Pacific sandlance,species,97.633,3.42e-78,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu254,ASV598,Ammodytes personatus,Pacific sandlance,species,98.225,7.36e-80,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu967,ASV2728,Ammodytes personatus,Pacific sandlance,species,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Anarrhichthys ocellatus,Wolf eel,species,motu86,ASV117,Anarrhichthys ocellatus,Wolf eel,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarrhichthys,0
Anas,Duck,offtarget,motu167,ASV346,Anas,Duck,offtarget,100,8.099999999999999e-95,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
Anas,Duck,offtarget,motu167,ASV3778,Anas,Duck,offtarget,99.465,3.77e-93,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
Anas,Duck,offtarget,motu167,ASV346,Anas,Duck,offtarget,100,8.099999999999999e-95,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
Anas,Duck,offtarget,motu231,ASV531,Anas,Duck,offtarget,94.241,1.42e-77,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
Anas,Duck,offtarget,motu251,ASV592,Anas,Duck,offtarget,94.18,5.0400000000000005e-77,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
Anas,Duck,offtarget,motu682,ASV1923,Anas,Duck,offtarget,93.651,2.3400000000000003e-75,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
Anas,Duck,offtarget,motu867,ASV2449,Anas,Duck,offtarget,95.187,8.27e-80,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
Anas,Duck,offtarget,motu1217,ASV3332,Anas,Duck,offtarget,94.18,5.0400000000000005e-77,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
Anchoa compressa,Deep body anchovy,species,motu95,ASV131,Anchoa compressa,Deep body anchovy,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu57,ASV63,Anchoa delicatissima,Slough anchovy,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu57,ASV67,Anchoa delicatissima,Slough anchovy,species,99.419,7.46e-85,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu57,ASV1135,Anchoa delicatissima,Slough anchovy,species,99.419,7.46e-85,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu57,ASV1281,Anchoa delicatissima,Slough anchovy,species,99.419,7.46e-85,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu57,ASV2480,Anchoa delicatissima,Slough anchovy,species,99.419,7.46e-85,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu57,ASV673,Anchoa delicatissima,Slough anchovy,species,98.837,3.47e-83,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu57,ASV1422,Anchoa delicatissima,Slough anchovy,species,98.837,3.47e-83,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu57,ASV63,Anchoa delicatissima,Slough anchovy,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anisotremus,Grunt species,genus,motu1067,ASV2974,Anisotremus,Grunt species,genus,95.858,3.45e-73,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
Anisotremus davidsonii,Xantic sargo,species,motu59,ASV66,Anisotremus davidsonii,Xantic sargo,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
Anisotremus davidsonii,Xantic sargo,species,motu59,ASV902,Anisotremus davidsonii,Xantic sargo,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
Anisotremus davidsonii,Xantic sargo,species,motu59,ASV1177,Anisotremus davidsonii,Xantic sargo,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
Anisotremus davidsonii,Xantic sargo,species,motu59,ASV1839,Anisotremus davidsonii,Xantic sargo,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
Anisotremus davidsonii,Xantic sargo,species,motu59,ASV3285,Anisotremus davidsonii,Xantic sargo,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
Anisotremus davidsonii,Xantic sargo,species,motu59,ASV3593,Anisotremus davidsonii,Xantic sargo,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
Anisotremus davidsonii,Xantic sargo,species,motu59,ASV3968,Anisotremus davidsonii,Xantic sargo,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
Anisotremus davidsonii,Xantic sargo,species,motu59,ASV66,Anisotremus davidsonii,Xantic sargo,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV22,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV125,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV174,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV249,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV298,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV314,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV549,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV1392,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV1601,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV1617,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV2177,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV2466,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV2570,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV2869,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV3224,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV3607,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV3818,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV4101,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV4206,Anoplarchus,Cockscomb species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV2118,Anoplarchus,Cockscomb species,genus,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu21,ASV22,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu1159,ASV3210,Anoplarchus,Cockscomb species,genus,99.405,1.2199999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu1271,ASV3443,Anoplarchus,Cockscomb species,genus,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu1309,ASV3527,Anoplarchus,Cockscomb species,genus,99.405,1.2199999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu1630,ASV4121,Anoplarchus,Cockscomb species,genus,98.81,5.69e-81,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu1647,ASV4142,Anoplarchus,Cockscomb species,genus,98.81,5.69e-81,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu1787,ASV4352,Anoplarchus,Cockscomb species,genus,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,Cockscomb species,genus,motu1923,ASV4559,Anoplarchus,Cockscomb species,genus,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplopoma fimbria,Sablefish,species,motu71,ASV82,Anoplopoma fimbria,Sablefish,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
Anoplopoma fimbria,Sablefish,species,motu71,ASV1020,Anoplopoma fimbria,Sablefish,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
Anoplopoma fimbria,Sablefish,species,motu71,ASV1360,Anoplopoma fimbria,Sablefish,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
Anoplopoma fimbria,Sablefish,species,motu71,ASV1546,Anoplopoma fimbria,Sablefish,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
Anoplopoma fimbria,Sablefish,species,motu71,ASV1599,Anoplopoma fimbria,Sablefish,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
Anoplopoma fimbria,Sablefish,species,motu71,ASV2325,Anoplopoma fimbria,Sablefish,species,100,9.39e-84,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
Anoplopoma fimbria,Sablefish,species,motu71,ASV3134,Anoplopoma fimbria,Sablefish,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
Anoplopoma fimbria,Sablefish,species,motu71,ASV3840,Anoplopoma fimbria,Sablefish,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
Anoplopoma fimbria,Sablefish,species,motu71,ASV82,Anoplopoma fimbria,Sablefish,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
Apodichthys flavidus,Penpoint gunnel,species,motu107,ASV3509,Apodichthys,Apodichthys gunnel species,genus,95.833,1.2299999999999999e-72,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,ASV43,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,ASV148,Apodichthys flavidus,Penpoint gunnel,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,ASV893,Apodichthys flavidus,Penpoint gunnel,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,ASV1349,Apodichthys flavidus,Penpoint gunnel,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,ASV1427,Apodichthys flavidus,Penpoint gunnel,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,ASV1643,Apodichthys flavidus,Penpoint gunnel,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,ASV1951,Apodichthys flavidus,Penpoint gunnel,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,ASV1975,Apodichthys flavidus,Penpoint gunnel,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,ASV2393,Apodichthys flavidus,Penpoint gunnel,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,ASV2585,Apodichthys flavidus,Penpoint gunnel,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
