sample_id,treatment,motu,reads_raw,found_taxa,common_name,site_code,region_name,region_code,decimal_latitude,decimal_longitude,genus,family,order,class,asv,rank,found_taxa_asv,common_name_asv,rank_asv,identity_percentage,evalue,kingdom,phylum,freshwater_only,motu_pa,sample_collection_date,collection_time,filter_time,extraction_blank,volume_filtered,year,sample_notes,location_name,personnel,swell_m,salinity_psu,temperature_c,collection_method,bottom_depth_m,seagrass_presence,seagrass_notes,describe_transect,notes,region_name_label,region_code_label,seq_method,sample_box,pcr_blank
pecoe-0061,Field blank,motu780,562,No BLAST hit,No BLAST hit,HG_LIE,BC_HG,BC_HGa,52.22138,-131.26855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0061,Field blank,motu1214,225,Aulorhynchus flavidus,Tube-snout,HG_LIE,BC_HG,BC_HGa,52.22138,-131.26855,Aulorhynchus,Aulorhynchidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0067,Field blank,motu61,554,No BLAST hit,No BLAST hit,HG_SB,BC_HG,BC_HGa,52.63103,-131.60861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0067,Field blank,motu61,259,No BLAST hit,No BLAST hit,HG_SB,BC_HG,BC_HGa,52.63103,-131.60861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0067,Field blank,motu61,169,No BLAST hit,No BLAST hit,HG_SB,BC_HG,BC_HGa,52.63103,-131.60861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0077,Field blank,motu78,20108,Salmo salar,Atlantic salmon,PP_K,BC_PP,BC_PP,49.104117,-125.748433,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0077,Field blank,motu15,5005,Oncorhynchus gorbuscha,Pink salmon,PP_K,BC_PP,BC_PP,49.104117,-125.748433,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0077,Field blank,motu3,4769,Clupea pallasii,Pacific herring,PP_K,BC_PP,BC_PP,49.104117,-125.748433,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu19,3666,Ammodytes personatus,Pacific sandlance,PP_O,BC_PP,BC_PP,49.171917,-125.915683,Ammodytes,Ammodytidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu78,4541,Salmo salar,Atlantic salmon,PP_O,BC_PP,BC_PP,49.171917,-125.915683,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu61,835,No BLAST hit,No BLAST hit,PP_O,BC_PP,BC_PP,49.171917,-125.915683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu78,3293,Salmo salar,Atlantic salmon,PP_O,BC_PP,BC_PP,49.171917,-125.915683,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu78,873,Salmo salar,Atlantic salmon,PP_O,BC_PP,BC_PP,49.171917,-125.915683,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0085,Field blank,motu78,276,Salmo salar,Atlantic salmon,PP_O,BC_PP,BC_PP,49.171917,-125.915683,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0086,Field blank,motu11,333,Oncorhynchus,Salmon species,PP_M,BC_PP,BC_PP,49.1844,-125.884767,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0091,Field blank,motu28,15892,Hexagrammos decagrammus,Kelp greenling,PP_S,BC_PP,BC_PP,49.19295,-125.862383,Hexagrammos,Hexagrammidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0091,Field blank,motu78,1440,Salmo salar,Atlantic salmon,PP_S,BC_PP,BC_PP,49.19295,-125.862383,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0091,Field blank,motu913,401,Oncorhynchus keta,Chum salmon,PP_S,BC_PP,BC_PP,49.19295,-125.862383,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu1,16,Cymatogaster aggregata,Shiner perch,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Cymatogaster,Embiotocidae,Ovalentaria incertae sedis,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu5,10,Gasterosteus aculeatus,Three-spined stickleback,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Gasterosteus,Gasterosteidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu16,17,Pleuronectidae,Flatfish family,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,NA,Pleuronectidae,Pleuronectiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu19,8377,Ammodytes personatus,Pacific sandlance,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Ammodytes,Ammodytidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu32,14,Embiotocidae,Surfperch family,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Phanerodon,Embiotocidae,Ovalentaria incertae sedis,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu28,14,Hexagrammos decagrammus,Kelp greenling,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Hexagrammos,Hexagrammidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu11,40,Oncorhynchus,Salmon species,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu21,8,Anoplarchus,Cockscomb species,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Anoplarchus,Stichaeidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0100,Field blank,motu19,17889,Ammodytes personatus,Pacific sandlance,PP_MI,BC_PP,BC_PP,49.1213,-125.825617,Ammodytes,Ammodytidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0106,Field blank,motu11,177,Oncorhynchus,Salmon species,WB_DP,WA_WB,WA_WB,46.98382,-124.12465,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0111,Field blank,motu37,16652,Oncorhynchus kisutch,Coho salmon,WB_BC,WA_WB,WA_WB,46.64021,-123.94357,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0111,Field blank,motu78,19889,Salmo salar,Atlantic salmon,WB_BC,WA_WB,WA_WB,46.64021,-123.94357,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0111,Field blank,motu222,1361,Salmo salar,Atlantic salmon,WB_BC,WA_WB,WA_WB,46.64021,-123.94357,Salmo,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0116,Field blank,motu11,35949,Oncorhynchus,Salmon species,WB_WR,WA_WB,WA_WB,46.69456,-123.9037,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0126,Field blank,motu3,14115,Clupea pallasii,Pacific herring,WB_BC,WA_WB,WA_WB,46.64021,-123.94357,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0126,Field blank,motu3,2266,Clupea pallasii,Pacific herring,WB_BC,WA_WB,WA_WB,46.64021,-123.94357,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0126,Field blank,motu3,561,Clupea pallasii,Pacific herring,WB_BC,WA_WB,WA_WB,46.64021,-123.94357,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0135,Field blank,motu83,45,Sus scrofa,Pig,SE_NZ,AK_SE,AK_SE,55.248144,-132.879154,Sus,Suidae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0145,Field blank,motu316,3367,Unknown organism,Unknown organism,SE_NF,AK_SE,AK_SE,55.496398,-133.167232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0145,Field blank,motu583,976,Unknown organism,Unknown organism,SE_NF,AK_SE,AK_SE,55.496398,-133.167232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0150,Field blank,motu61,1209,No BLAST hit,No BLAST hit,SE_SH,AK_SE,AK_SE,55.597919,-133.162584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu61,152,No BLAST hit,No BLAST hit,SE_NS,AK_SE,AK_SE,55.708572,-133.34121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu83,128,Sus scrofa,Pig,SE_NS,AK_SE,AK_SE,55.708572,-133.34121,Sus,Suidae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu202,2976,Rhizosolenia  setigera,Diatom,SE_NS,AK_SE,AK_SE,55.708572,-133.34121,Rhizosolenia,Rhizosoleniaceae,Rhizosoleniales,Coscinodiscophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu543,1141,gamma proteobacterium,Bacteria,SE_NS,AK_SE,AK_SE,55.708572,-133.34121,NA,NA,NA,Gammaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0155,Field blank,motu553,1105,Deltaproteobacteria,Bacteria,SE_NS,AK_SE,AK_SE,55.708572,-133.34121,NA,NA,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0162,Field blank,motu3,389,Clupea pallasii,Pacific herring,SD_FI,CA_SD,CA_SD,32.77171,-117.21962,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0162,Field blank,motu544,100,No BLAST hit,No BLAST hit,SD_FI,CA_SD,CA_SD,32.77171,-117.21962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0166,Field blank,motu851,467,No BLAST hit,No BLAST hit,SD_CV,CA_SD,CA_SD,32.62568,-117.1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0171,Field blank,motu82,430,Fin whale,Fin whale,SD_SI,CA_SD,CA_SD,32.71447,-117.22482,Balaenoptera,Balaenopteridae,Artiodactyla,Mammalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu1,19,Cymatogaster aggregata,Shiner perch,JN_SB,AK_JN,AK_JN,58.62695,-134.9442,Cymatogaster,Embiotocidae,Ovalentaria incertae sedis,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu5,11,Gasterosteus aculeatus,Three-spined stickleback,JN_SB,AK_JN,AK_JN,58.62695,-134.9442,Gasterosteus,Gasterosteidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu4,17,Atherinopsis californiensis,Jack silverside,JN_SB,AK_JN,AK_JN,58.62695,-134.9442,Atherinopsis,Atherinidae,Atheriniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu15,11,Oncorhynchus gorbuscha,Pink salmon,JN_SB,AK_JN,AK_JN,58.62695,-134.9442,Oncorhynchus,Salmonidae,Salmoniformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0189,Field blank,motu65,36765,Artedius harringtoni,Scalyhead sculpin,JN_SB,AK_JN,AK_JN,58.62695,-134.9442,Artedius,Cottidae,Perciformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0195,Field blank,motu3,5860,Clupea pallasii,Pacific herring,JN_AN,AK_JN,AK_JN,58.38105625,-134.692431,Clupea,Clupeidae,Clupeiformes,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pecoe-0195,Field blank,motu490,1402,No BLAST hit,No BLAST hit,JN_AN,AK_JN,AK_JN,58.38105625,-134.692431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
