motu,asv,found_taxa,common_name,rank,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only
motu19,ASV2699,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu19,ASV2849,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu19,ASV3032,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu19,ASV3185,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu19,ASV3202,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu19,ASV3305,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu19,ASV3369,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu19,ASV3672,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu19,ASV3729,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu19,ASV3812,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu19,ASV2669,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu19,ASV3449,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu254,ASV598,Ammodytes personatus,Pacific sandlance,species,98.225,7.36e-80,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu254,ASV1576,Ammodytes personatus,Pacific sandlance,species,98.225,7.36e-80,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu967,ASV2728,Ammodytes personatus,Pacific sandlance,species,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
motu86,ASV117,Anarrhichthys ocellatus,Wolf eel,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarrhichthys,0
motu167,ASV346,Anas,Duck,offtarget,100,8.099999999999999e-95,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
motu167,ASV3778,Anas,Duck,offtarget,100,8.099999999999999e-95,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
motu231,ASV531,Anas,Duck,offtarget,94.241,1.42e-77,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
motu251,ASV592,Anas,Duck,offtarget,94.18,5.0400000000000005e-77,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
motu682,ASV1923,Anas,Duck,offtarget,93.651,2.3400000000000003e-75,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
motu867,ASV2449,Anas,Duck,offtarget,95.187,8.27e-80,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
motu1217,ASV3332,Anas,Duck,offtarget,94.18,5.0400000000000005e-77,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
motu95,ASV131,Anchoa compressa,Deep body anchovy,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
motu57,ASV63,Anchoa delicatissima,Slough anchovy,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
motu57,ASV67,Anchoa delicatissima,Slough anchovy,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
motu57,ASV1135,Anchoa delicatissima,Slough anchovy,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
motu57,ASV1281,Anchoa delicatissima,Slough anchovy,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
motu57,ASV2480,Anchoa delicatissima,Slough anchovy,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
motu57,ASV673,Anchoa delicatissima,Slough anchovy,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
motu57,ASV1422,Anchoa delicatissima,Slough anchovy,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
motu1067,ASV2974,Anisotremus,Grunt species,genus,95.858,3.45e-73,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
motu59,ASV66,Anisotremus davidsonii,Xantic sargo,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
motu59,ASV902,Anisotremus davidsonii,Xantic sargo,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
motu59,ASV1177,Anisotremus davidsonii,Xantic sargo,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
motu59,ASV1839,Anisotremus davidsonii,Xantic sargo,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
motu59,ASV3285,Anisotremus davidsonii,Xantic sargo,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
motu59,ASV3593,Anisotremus davidsonii,Xantic sargo,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
motu59,ASV3968,Anisotremus davidsonii,Xantic sargo,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
motu21,ASV22,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV125,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV174,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV249,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV298,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV314,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV549,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV1392,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV1601,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV1617,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV2177,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV2466,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV2570,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV2869,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV3224,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV3607,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV3818,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV4101,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV4206,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu21,ASV2118,Anoplarchus,Cockscomb species,genus,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu1159,ASV3210,Anoplarchus,Cockscomb species,genus,99.405,1.2199999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu1271,ASV3443,Anoplarchus,Cockscomb species,genus,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu1309,ASV3527,Anoplarchus,Cockscomb species,genus,99.405,1.2199999999999999e-82,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu1630,ASV4121,Anoplarchus,Cockscomb species,genus,98.81,5.69e-81,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu1647,ASV4142,Anoplarchus,Cockscomb species,genus,98.81,5.69e-81,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu1787,ASV4352,Anoplarchus,Cockscomb species,genus,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu1923,ASV4559,Anoplarchus,Cockscomb species,genus,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
motu71,ASV82,Anoplopoma fimbria,Sablefish,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
motu71,ASV1020,Anoplopoma fimbria,Sablefish,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
motu71,ASV1360,Anoplopoma fimbria,Sablefish,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
motu71,ASV1546,Anoplopoma fimbria,Sablefish,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
motu71,ASV1599,Anoplopoma fimbria,Sablefish,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
motu71,ASV2325,Anoplopoma fimbria,Sablefish,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
motu71,ASV3134,Anoplopoma fimbria,Sablefish,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
motu71,ASV3840,Anoplopoma fimbria,Sablefish,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
motu40,ASV43,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV148,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV893,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV1349,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV1427,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV1643,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV1951,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV1975,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV2393,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV2585,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV2606,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV3113,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV3153,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV3929,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV228,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu40,ASV308,Apodichthys flavidus,Penpoint gunnel,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu107,ASV151,Apodichthys flavidus,Penpoint gunnel,species,97.024,5.69e-76,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu107,ASV613,Apodichthys flavidus,Penpoint gunnel,species,97.024,5.69e-76,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu107,ASV2360,Apodichthys flavidus,Penpoint gunnel,species,97.024,5.69e-76,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu107,ASV2735,Apodichthys flavidus,Penpoint gunnel,species,97.024,5.69e-76,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu107,ASV3509,Apodichthys flavidus,Penpoint gunnel,species,97.024,5.69e-76,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu107,ASV3514,Apodichthys flavidus,Penpoint gunnel,species,97.024,5.69e-76,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu1047,ASV2924,Apodichthys flavidus,Penpoint gunnel,species,96.296,5.73e-71,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu1616,ASV4104,Apodichthys flavidus,Penpoint gunnel,species,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
motu2060,ASV4739,Argis dentata,Marine crustacean,offtarget,99.12,4.189999999999999e-175,Eukaryota,Arthropoda,Malacostraca,Decapoda,Crangonidae,Argis,NA
motu1610,ASV4094,Artedius,Artedius sculpin species,genus,95.349,1.25e-72,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV33,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV307,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV868,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV1166,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV1192,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV1967,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV2209,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV2242,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV2384,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV2399,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV2940,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV3192,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu31,ASV4172,Artedius fenestralis,Padded sculpin,species,100,1.6e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu65,ASV73,Artedius harringtoni,Scalyhead sculpin,species,100,5.7300000000000005e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu65,ASV639,Artedius harringtoni,Scalyhead sculpin,species,100,5.7300000000000005e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu65,ASV927,Artedius harringtoni,Scalyhead sculpin,species,100,5.7300000000000005e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu65,ASV1142,Artedius harringtoni,Scalyhead sculpin,species,100,5.7300000000000005e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu65,ASV1396,Artedius harringtoni,Scalyhead sculpin,species,100,5.7300000000000005e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu65,ASV1423,Artedius harringtoni,Scalyhead sculpin,species,100,5.7300000000000005e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu65,ASV2033,Artedius harringtoni,Scalyhead sculpin,species,100,5.7300000000000005e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu65,ASV2992,Artedius harringtoni,Scalyhead sculpin,species,100,5.7300000000000005e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu65,ASV4366,Artedius harringtoni,Scalyhead sculpin,species,100,5.7300000000000005e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu46,ASV50,Artedius lateralis,Smoothhead sculpin,species,99.415,2.66e-84,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu46,ASV213,Artedius lateralis,Smoothhead sculpin,species,99.415,2.66e-84,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu46,ASV384,Artedius lateralis,Smoothhead sculpin,species,99.415,2.66e-84,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu46,ASV503,Artedius lateralis,Smoothhead sculpin,species,99.415,2.66e-84,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu46,ASV2312,Artedius lateralis,Smoothhead sculpin,species,99.415,2.66e-84,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu46,ASV3287,Artedius lateralis,Smoothhead sculpin,species,99.415,2.66e-84,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu46,ASV328,Artedius lateralis,Smoothhead sculpin,species,99.415,2.66e-84,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu46,ASV939,Artedius lateralis,Smoothhead sculpin,species,99.415,2.66e-84,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu46,ASV3020,Artedius lateralis,Smoothhead sculpin,species,99.415,2.66e-84,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
motu46,ASV3238,Artedius lateralis,Smoothhead sculpin,species,99.415,2.66e-84,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
