sample_id,year,sequenced,missing,missing_status,lowreads,in_miseq,fish_miseq,treatment,site_code,region_code
exblank-2023-48,2023,yes,in dataset,NA,< 5,no,no,Extraction blank,NA,NA
exblank-2023-49,2023,yes,missing,NA,< 5,no,no,Extraction blank,NA,NA
exblank-2023-50,2023,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2023-51,2023,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2023-52,2023,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2023-53,2023,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2023-54,2023,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2023-55,2023,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2023-56,2023,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2023-57,2023,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2023-58,2023,yes,in dataset,NA,< 5,no,no,Extraction blank,NA,NA
exblank-2023-59,2023,yes,in dataset,NA,< 50,no,no,Extraction blank,NA,NA
exblank-2023-60,2023,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2023-61,2023,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank_2024_062,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_063,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_064,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_065,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_066,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_067,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_068,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_069,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_070,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_071,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_072,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_073,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_074,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_075,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_076,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_077,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_078,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_079,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_080,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_081,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_082,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_083,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_084,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_085,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_086,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_087,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_088,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
exblank_2024_089,NA,no,missing,Not sequenced,NA,no,no,Extraction blank,NA,NA
negpcr-2021-bsa-redos,2021,no,missing,Not sequenced,NA,no,no,PCR blank,NA,NA
negpcr-2021-p04,2021,yes,missing,dropped before filterandtrim,NA,no,no,PCR blank,NA,NA
negpcr-2021-p05,2021,no,missing,Not sequenced,NA,no,no,PCR blank,NA,NA
negpcr-2021-p08,2021,no,missing,Not sequenced,NA,no,no,PCR blank,NA,NA
negpcr-2022-1,2022,no,missing,Not sequenced,NA,no,no,PCR blank,NA,NA
negpcr-2022-2,2022,no,missing,Not sequenced,NA,no,no,PCR blank,NA,NA
negpcr-2022-3,2022,no,missing,Not sequenced,NA,no,no,PCR blank,NA,NA
negpcr-2023-1,2023,yes,missing,dropped during merge step,< 5,no,no,PCR blank,NA,NA
negpcr-2023-2,2023,yes,missing,dropped before filterandtrim,NA,no,no,PCR blank,NA,NA
negpcr-2023-3,2023,yes,in dataset,NA,NA,no,no,PCR blank,NA,NA
negpcr-2023-4,2023,yes,missing,dropped before filterandtrim,NA,no,no,PCR blank,NA,NA
negpcr-2024-1,NA,yes,missing,NA,NA,no,no,PCR blank,NA,NA
negpcr-2024-2,NA,yes,missing,NA,NA,no,no,PCR blank,NA,NA
negpcr-2024-3,NA,yes,in dataset,NA,< 5,no,no,PCR blank,NA,NA
negpcr-2024-4,NA,yes,in dataset,NA,< 5,no,no,PCR blank,NA,NA
pecoe-0001,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_E,CA_NCa
pecoe-0002,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_E,CA_NCa
pecoe-0003,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_E,CA_NCa
pecoe-0004,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_E,CA_NCa
pecoe-0005,2021,yes,missing,no fish,no,yes,yes,Field blank,NC_E,CA_NCa
pecoe-0006,2021,yes,missing,dropped before filterandtrim,NA,yes,yes,Field blank,NC_F,CA_NCa
pecoe-0007,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_F,CA_NCa
pecoe-0008,2021,no,missing,Not sequenced,NA,no,no,Sample,NC_F,CA_NCa
pecoe-0009,2021,no,missing,Not sequenced,NA,no,no,Sample,NC_F,CA_NCa
pecoe-0010,2021,no,missing,Not sequenced,NA,no,no,Sample,NC_F,CA_NCa
pecoe-0011,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_WP,CA_NCa
pecoe-0012,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_WP,CA_NCa
pecoe-0013,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_WP,CA_NCa
pecoe-0014,2021,yes,missing,no fish,no,yes,yes,Field blank,NC_WP,CA_NCa
pecoe-0015,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_WP,CA_NCa
pecoe-0016,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_B,CA_NCa
pecoe-0017,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_B,CA_NCa
pecoe-0018,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_B,CA_NCa
pecoe-0019,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_B,CA_NCa
pecoe-0020,2021,yes,missing,dropped during sequencing,NA,no,no,Field blank,NC_B,CA_NCa
pecoe-0021,2021,yes,in dataset,NA,no,no,no,Sample,NC_D,CA_NCa
pecoe-0022,2021,yes,missing,dropped during sequencing,NA,no,no,Field blank,NC_D,CA_NCa
pecoe-0023,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_D,CA_NCa
pecoe-0024,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_D,CA_NCa
pecoe-0025,2021,yes,in dataset,NA,no,yes,yes,Sample,NC_D,CA_NCa
pecoe-0026,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_FP,OR_YB
pecoe-0027,2021,yes,missing,dropped before filterandtrim,NA,yes,yes,Sample,YB_FP,OR_YB
pecoe-0028,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_FP,OR_YB
pecoe-0030,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_FP,OR_YB
pecoe-0031,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_SBS,OR_YB
pecoe-0032,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_SBS,OR_YB
pecoe-0033,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_SBS,OR_YB
pecoe-0034,2021,yes,missing,no fish,< 5,yes,yes,Field blank,YB_SBS,OR_YB
pecoe-0035,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_SBS,OR_YB
pecoe-0036,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_SBN,OR_YB
pecoe-0037,2021,yes,in dataset,NA,no,no,no,Field blank,YB_SBN,OR_YB
pecoe-0038,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_SBN,OR_YB
pecoe-0039,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_SBN,OR_YB
pecoe-0040,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_SBN,OR_YB
pecoe-0041,2021,yes,missing,dropped during sequencing,NA,yes,yes,Field blank,YB_FP,OR_YB
pecoe-0042,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_SBN,OR_YB
pecoe-0043,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_BV,OR_YB
pecoe-0044,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_BV,OR_YB
pecoe-0045,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_BV,OR_YB
pecoe-0046,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_IF,OR_YB
pecoe-0047,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_IF,OR_YB
pecoe-0048,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_IF,OR_YB
pecoe-0049,2021,yes,missing,no fish,NA,yes,yes,Field blank,YB_IF,OR_YB
pecoe-0050,2021,yes,in dataset,NA,no,yes,yes,Sample,YB_IF,OR_YB
pecoe-0051,2021,yes,missing,dropped before filterandtrim,NA,no,no,Field blank,HG_MDD,BC_HGa
pecoe-0052,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_MDD,BC_HGa
pecoe-0053,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_MDD,BC_HGa
pecoe-0054,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_MDD,BC_HGa
pecoe-0055,2021,yes,in dataset,NA,NA,yes,yes,Sample,HG_MDD,BC_HGa
pecoe-0056,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_RI,BC_HGa
pecoe-0057,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_RI,BC_HGa
pecoe-0058,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_RI,BC_HGa
pecoe-0059,2021,yes,missing,dropped during sequencing,NA,yes,yes,Field blank,HG_RI,BC_HGa
pecoe-0060,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_RI,BC_HGa
pecoe-0061,2021,yes,missing,no fish,no,yes,yes,Field blank,HG_LIE,BC_HGa
pecoe-0062,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_LIE,BC_HGa
pecoe-0063,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_LIE,BC_HGa
pecoe-0064,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_LIE,BC_HGa
pecoe-0065,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_LIE,BC_HGa
pecoe-0066,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_SB,BC_HGa
pecoe-0067,2021,yes,missing,no fish,no,yes,no,Field blank,HG_SB,BC_HGa
pecoe-0068,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_SB,BC_HGa
pecoe-0069,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_SB,BC_HGa
pecoe-0070,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_SB,BC_HGa
pecoe-0071,2021,yes,missing,dropped during sequencing,NA,no,no,Field blank,HG_DSD,BC_HGa
pecoe-0072,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_DSD,BC_HGa
pecoe-0073,2021,yes,missing,no fish,no,yes,no,Sample,HG_DSD,BC_HGa
pecoe-0074,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_DSD,BC_HGa
pecoe-0075,2021,yes,in dataset,NA,no,yes,yes,Sample,HG_DSD,BC_HGa
pecoe-0076,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_K,BC_PP
pecoe-0077,2021,no,missing,Not sequenced,NA,yes,yes,Field blank,PP_K,BC_PP
pecoe-0078,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_K,BC_PP
pecoe-0079,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_K,BC_PP
pecoe-0080,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_K,BC_PP
pecoe-0081,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_O,BC_PP
pecoe-0082,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_O,BC_PP
pecoe-0083,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_O,BC_PP
pecoe-0084,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_O,BC_PP
pecoe-0085,2021,no,missing,Not sequenced,NA,yes,yes,Field blank,PP_O,BC_PP
pecoe-0086,2021,no,missing,Not sequenced,NA,yes,yes,Field blank,PP_M,BC_PP
pecoe-0087,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_M,BC_PP
pecoe-0088,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_M,BC_PP
pecoe-0089,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_M,BC_PP
pecoe-0090,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_M,BC_PP
pecoe-0091,2021,no,missing,Not sequenced,NA,yes,yes,Field blank,PP_S,BC_PP
pecoe-0092,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_S,BC_PP
pecoe-0093,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_S,BC_PP
pecoe-0094,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_S,BC_PP
pecoe-0095,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_S,BC_PP
pecoe-0096,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_MI,BC_PP
pecoe-0097,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_MI,BC_PP
pecoe-0098,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_MI,BC_PP
pecoe-0099,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_MI,BC_PP
pecoe-0100,2021,no,missing,Not sequenced,NA,yes,yes,Field blank,PP_MI,BC_PP
pecoe-0101,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_EB,BC_PP
pecoe-0102,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_EB,BC_PP
pecoe-0103,2021,no,missing,Not sequenced,NA,no,no,Field blank,PP_EB,BC_PP
pecoe-0104,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_EB,BC_PP
pecoe-0105,2021,no,missing,Not sequenced,NA,yes,yes,Sample,PP_EB,BC_PP
pecoe-0106,2021,yes,in dataset,NA,no,yes,yes,Field blank,WB_DP,WA_WB
pecoe-0107,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_DP,WA_WB
pecoe-0108,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_DP,WA_WB
pecoe-0109,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_DP,WA_WB
pecoe-0110,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_DP,WA_WB
pecoe-0111,2021,yes,missing,dropped before filterandtrim,NA,yes,yes,Field blank,WB_BC,WA_WB
pecoe-0112,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_CO,WA_WB
pecoe-0113,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_CO,WA_WB
pecoe-0114,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_CO,WA_WB
pecoe-0115,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_CO,WA_WB
pecoe-0116,2021,yes,missing,dropped before filterandtrim,NA,yes,yes,Field blank,WB_WR,WA_WB
pecoe-0117,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_WR,WA_WB
pecoe-0118,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_WR,WA_WB
pecoe-0119,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_WR,WA_WB
pecoe-0120,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_WR,WA_WB
pecoe-0121,2021,yes,missing,no fish,NA,no,no,Field blank,WB_SB,WA_WB
pecoe-0122,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_SB,WA_WB
pecoe-0123,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_SB,WA_WB
pecoe-0124,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_SB,WA_WB
pecoe-0125,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_SB,WA_WB
pecoe-0126,2021,yes,missing,no fish,< 100,yes,yes,Field blank,WB_BC,WA_WB
pecoe-0127,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_BC,WA_WB
pecoe-0128,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_BC,WA_WB
pecoe-0129,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_BC,WA_WB
pecoe-0130,2021,yes,in dataset,NA,no,yes,yes,Sample,WB_BC,WA_WB
pecoe-0131,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NZ,AK_SE
pecoe-0132,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NZ,AK_SE
pecoe-0133,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NZ,AK_SE
pecoe-0134,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NZ,AK_SE
pecoe-0135,2021,yes,missing,dropped during sequencing,NA,yes,no,Field blank,SE_NZ,AK_SE
pecoe-0136,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_RF,AK_SE
pecoe-0137,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_RF,AK_SE
pecoe-0138,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_RF,AK_SE
pecoe-0139,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_RF,AK_SE
pecoe-0140,2021,yes,missing,dropped during sequencing,NA,no,no,Field blank,SE_RF,AK_SE
pecoe-0141,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NF,AK_SE
pecoe-0142,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NF,AK_SE
pecoe-0143,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NF,AK_SE
pecoe-0144,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NF,AK_SE
pecoe-0145,2021,yes,missing,dropped before filterandtrim,NA,yes,no,Field blank,SE_NF,AK_SE
pecoe-0146,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_SH,AK_SE
pecoe-0147,2021,yes,in dataset,NA,no,no,no,Sample,SE_SH,AK_SE
pecoe-0148,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_SH,AK_SE
pecoe-0149,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_SH,AK_SE
pecoe-0150,2021,yes,in dataset,NA,no,yes,no,Field blank,SE_SH,AK_SE
pecoe-0151,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NS,AK_SE
pecoe-0152,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NS,AK_SE
pecoe-0153,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NS,AK_SE
pecoe-0154,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_NS,AK_SE
pecoe-0155,2021,yes,missing,no fish,no,yes,no,Field blank,SE_NS,AK_SE
pecoe-0161,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_FI,CA_SD
pecoe-0162,2021,yes,missing,dropped before filterandtrim,NA,yes,yes,Field blank,SD_FI,CA_SD
pecoe-0163,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_FI,CA_SD
pecoe-0164,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_FI,CA_SD
pecoe-0165,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_FI,CA_SD
pecoe-0166,2021,yes,missing,dropped before filterandtrim,NA,yes,no,Field blank,SD_CV,CA_SD
pecoe-0167,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_CV,CA_SD
pecoe-0168,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_CV,CA_SD
pecoe-0169,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_CV,CA_SD
pecoe-0170,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_CV,CA_SD
pecoe-0171,2021,yes,missing,no fish,< 50,yes,no,Field blank,SD_SI,CA_SD
pecoe-0172,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_SI,CA_SD
pecoe-0173,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_SI,CA_SD
pecoe-0174,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_SI,CA_SD
pecoe-0175,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_SI,CA_SD
pecoe-0176,2021,yes,missing,dropped during sequencing,NA,no,no,Field blank,SD_SDL,CA_SD
pecoe-0177,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_SDL,CA_SD
pecoe-0178,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_SDL,CA_SD
pecoe-0179,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_SDL,CA_SD
pecoe-0180,2021,yes,in dataset,NA,no,yes,yes,Sample,SD_SDL,CA_SD
pecoe-0181,2021,yes,missing,no fish,NA,no,no,Field blank,JN_FC,AK_JN
pecoe-0182,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_FC,AK_JN
pecoe-0183,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_FC,AK_JN
pecoe-0184,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_FC,AK_JN
pecoe-0185,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_FC,AK_JN
pecoe-0186,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_SB,AK_JN
pecoe-0187,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_SB,AK_JN
pecoe-0188,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_SB,AK_JN
pecoe-0189,2021,yes,in dataset,NA,no,yes,yes,Field blank,JN_SB,AK_JN
pecoe-0190,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_SB,AK_JN
pecoe-0191,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_AN,AK_JN
pecoe-0192,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_AN,AK_JN
pecoe-0193,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_AN,AK_JN
pecoe-0194,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_AN,AK_JN
pecoe-0195,2021,yes,missing,dropped before filterandtrim,NA,yes,yes,Field blank,JN_AN,AK_JN
pecoe-0196,2021,yes,in dataset,NA,no,yes,no,Field blank,JN_EC,AK_JN
pecoe-0197,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_EC,AK_JN
pecoe-0198,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_EC,AK_JN
pecoe-0199,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_EC,AK_JN
pecoe-0200,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_EC,AK_JN
pecoe-0201,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_BC,AK_JN
pecoe-0202,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_BC,AK_JN
pecoe-0203,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_BC,AK_JN
pecoe-0204,2021,yes,in dataset,NA,no,yes,yes,Sample,JN_BC,AK_JN
pecoe-0205,2021,yes,missing,no fish,< 100,yes,yes,Field blank,JN_BC,AK_JN
pecoe-0206,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_GK,AK_SE
pecoe-0207,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_GK,AK_SE
pecoe-0208,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_GK,AK_SE
pecoe-0209,2021,yes,in dataset,NA,no,yes,yes,Sample,SE_GK,AK_SE
