sample_name,motu,reads_adjust_sample,motu_pa,found_taxa_motu,common_name_motu,rank_motu,location,macroveg_group,macroveg_community,pcr_rep,reads_raw_sample,asv,raw_reads,sample_id,site,date,year,depth,spatial_rep,geo_location_name,experiment,temperature_c_surface,salinity_ppt_surface,p_h_surface,temperature_c_bottom,salinity_ppt_bottom,p_h_bottom,bottom_depth_m,lat,long,substrate,freshwater_input,beach_length,exposure,seed_asv,ctrl_mean,reads_adjust,found_taxa_asv,common_name_asv,rank_asv,kingdom,phylum,class,order,family,genus,freshwater_only
edna0001,motu64,89,1,Salvelinus,Char species,genus,koeye estuary,seagrass,zostera,rep3,89,ASV79,52,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV79,0,52,Salvelinus,Char species,genus,Eukaryota,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus,0
edna0001,motu72,194,1,Liparis cyclopus,Ribbon snailfish,species,koeye estuary,seagrass,zostera,rep3,194,ASV89,61,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV89,0,61,Liparis cyclopus,Ribbon snailfish,species,Eukaryota,Chordata,Teleostei,Perciformes,Liparidae,Liparis,0
edna0002,motu1,105,1,Clupea pallasii,Pacific herring,species,koeye estuary,seagrass,zostera,rep1,275,ASV1,170,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV1,1030,0,Clupea pallasii,Pacific herring,species,Eukaryota,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,0
edna0002,motu2,1303,1,Cymatogaster aggregata,Shiner perch,species,koeye estuary,seagrass,zostera,rep1,2150,ASV2,1439,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV2,847,592,Cymatogaster aggregata,Shiner perch,species,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
edna0002,motu3,5704,1,Ammodytes personatus,Pacific sandlance,species,koeye estuary,seagrass,zostera,rep1,5706,ASV3,3474,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV3,0,3474,Ammodytes personatus,Pacific sandlance,species,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
edna0002,motu4,68,1,Sebastes,Rockfish species,genus,koeye estuary,seagrass,zostera,rep1,68,ASV4,68,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV4,0,68,Sebastes,Rockfish species,genus,Eukaryota,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,0
edna0002,motu5,1163,1,Gasterosteus aculeatus,Three-spined stickleback,species,koeye estuary,seagrass,zostera,rep1,1163,ASV5,474,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV5,0,474,Gasterosteus aculeatus,Three-spined stickleback,species,Eukaryota,Chordata,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,0
edna0002,motu6,121,1,Hexagrammos decagrammus,Kelp greenling,species,koeye estuary,seagrass,zostera,rep1,188,ASV6,188,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV6,67,121,Hexagrammos decagrammus,Kelp greenling,species,Eukaryota,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos,0
edna0002,motu7,210,1,Leptocottus armatus,Pacific staghorn sculpin,species,koeye estuary,seagrass,zostera,rep1,592,ASV7,382,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV7,455,0,Leptocottus armatus,Pacific staghorn sculpin,species,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Leptocottus,0
edna0002,motu8,902,1,Pleuronectidae,Flatfish family,family,koeye estuary,seagrass,zostera,rep1,902,ASV10,333,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV8,0,333,Pleuronectidae,Flatfish family,family,Eukaryota,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,NA,0
edna0002,motu11,17013,1,Cottus,Cottus sculpin species,genus,koeye estuary,seagrass,zostera,rep1,17013,ASV12,7638,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV12,0,7638,Cottus,Cottus sculpin species,genus,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Cottus,1
edna0002,motu13,733,1,Pholis laeta,Crescent gunnel,species,koeye estuary,seagrass,zostera,rep1,1228,ASV14,495,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV14,630,0,Pholis laeta,Crescent gunnel,species,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Pholis,0
edna0002,motu19,71,1,Citharichthys stigmaeus,Speckled sanddab,species,koeye estuary,seagrass,zostera,rep1,71,ASV21,71,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV21,0,71,Citharichthys stigmaeus,Speckled sanddab,species,Eukaryota,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,0
edna0002,motu20,123,1,Ophiodon elongatus,Lingcod,species,koeye estuary,seagrass,zostera,rep1,123,ASV22,123,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV22,0,123,Ophiodon elongatus,Lingcod,species,Eukaryota,Chordata,Teleostei,Perciformes,Hexagrammidae,Ophiodon,0
edna0002,motu33,7,1,Oligocottus maculosus,Tidepool sculpin,species,koeye estuary,seagrass,zostera,rep1,7,ASV37,7,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV37,0,7,Oligocottus maculosus,Tidepool sculpin,species,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Oligocottus,0
edna0002,motu11,17013,1,Cottus,Cottus sculpin species,genus,koeye estuary,seagrass,zostera,rep1,17013,ASV55,1042,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV12,0,1042,Cottus,Cottus sculpin species,genus,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Cottus,1
edna0002,motu51,45,1,Phytichthys chirus,Ribbon prickleback,species,koeye estuary,seagrass,zostera,rep1,45,ASV60,45,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV60,0,45,Phytichthys chirus,Ribbon prickleback,species,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Phytichthys,0
edna0002,motu72,149,1,Liparis cyclopus,Ribbon snailfish,species,koeye estuary,seagrass,zostera,rep1,149,ASV89,71,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV89,0,71,Liparis cyclopus,Ribbon snailfish,species,Eukaryota,Chordata,Teleostei,Perciformes,Liparidae,Liparis,0
edna0002,motu66,19,1,Gadus,Cod species,genus,koeye estuary,seagrass,zostera,rep1,19,ASV203,19,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV82,0,19,Gadus chalcogrammus,Alaska pollock,species,Eukaryota,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,0
edna0002,motu133,107,1,Brosmophycis marginata,Red brotula,species,koeye estuary,seagrass,zostera,rep1,107,ASV326,107,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV326,0,107,Brosmophycis marginata,Red brotula,species,Eukaryota,Chordata,Teleostei,Ophidiiformes,Bythitidae,Brosmophycis,0
edna0002,motu261,58,1,Anoplarchus,Cockscomb species,genus,koeye estuary,seagrass,zostera,rep1,58,ASV793,58,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV793,0,58,Anoplarchus,Cockscomb species,genus,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
edna0002,motu266,54,1,Enophrys bison,Buffalo sculpin,species,koeye estuary,seagrass,zostera,rep1,54,ASV801,54,edna0002-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,2,edna_ko_e3_15,surface,16,15.09,8.07,NA,NA,NA,2.2,51.77943387,-127.8717879,sand,NA,NA,NA,ASV801,0,54,Enophrys bison,Buffalo sculpin,species,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Enophrys,0
