Sample ID,Well Position*,Project,,,,,,,,,,
PECOe-1406,A-B09,PECO 2024,,,,,,,,,,
PECOe-1407,A-C09,PECO 2024,,,,,,,,,,
PECOe-1408,A-D09,PECO 2024,,,,,,,,,,
PECOe-1409,A-E09,PECO 2024,,,,,,,,,,
PECOe-1410,A-F09,PECO 2024,,,,,,,,,,
PECOe-1411,A-G09,PECO 2024,,,,,,,,,,
PECOe-1412,A-H09,PECO 2024,,,,,,,,,,
PECOe-1413,A-A10,PECO 2024,,,,,,,,,,
PECOe-1414,A-B10,PECO 2024,,,,,,,,,,
PECOe-1415,A-C10,PECO 2024,,,,,,,,,,
PECOe-1416,A-D10,PECO 2024,,,,,,,,,,
PECOe-1417,A-E10,PECO 2024,,,,,,,,,,
PECOe-1418,A-F10,PECO 2024,,,,,,,,,,
PECOe-1419,A-G10,PECO 2024,,,,,,,,,,
PECOe-1420,A-H10,PECO 2024,,,,,,,,,,
PECOe-1421,A-A11,PECO 2024,,,,,,,,,,
PECOe-1422,A-B11,PECO 2024,,,,,,,,,,
PECOe-1423,A-C11,PECO 2024,,,,,,,,,,
PECOe-1424,A-D11,PECO 2024,,,,,,,,,,
PECOe-1425,A-E11,PECO 2024,,,,,,,,,,
PECOe-1426,A-F11,PECO 2024,,,,,,,,,,
PECOe-1427,A-G11,PECO 2024,,,,,,,,,,
PECOe-1428,A-H11,PECO 2024,,,,,,,,,,
PECOe-1429,A-A12,PECO 2024,,,,,,,,,,
PECOe-1430,A-B12,PECO 2024,,,,,,,,,,
PECOe-1431,A-C12,PECO 2024,,,,,,,,,,
PECOe-1432,A-D12,PECO 2024,,,,,,,,,,
PECOe-1433,A-E12,PECO 2024,,,,,,,,,,
PECOe-1434,A-F12,PECO 2024,,,,,,,,,,
PECOe-1435,A-G12,PECO 2024,,,,,,,,,,
Neg_PCR1_2024,A-H12,PECO 2024,,,,,,,,,,
PECOe-1436,B-A01,PECO 2024,,,,,,,,,,
PECOe-1437,B-B01,PECO 2024,,,,,,,,,,
PECOe-1438,B-C01,PECO 2024,,,,,,,,,,
PECOe-1439,B-D01,PECO 2024,,,,,,,,,,
PECOe-1440,B-E01,PECO 2024,,,,,,,,,,
PECOe-1446,B-F01,PECO 2024,,,,,,,,,,
PECOe-1447,B-G01,PECO 2024,,,,,,,,,,
PECOe-1448,B-H01,PECO 2024,,,,,,,,,,
PECOe-1449,B-A02,PECO 2024,,,,,,,,,,
PECOe-1450,B-B02,PECO 2024,,,,,,,,,,
PECOe-1451,B-C02,PECO 2024,,,,,,,,,,
PECOe-1452,B-D02,PECO 2024,,,,,,,,,,
PECOe-1453,B-E02,PECO 2024,,,,,,,,,,
PECOe-1454,B-F02,PECO 2024,,,,,,,,,,
PECOe-1455,B-G02,PECO 2024,,,,,,,,,,
PECOe-1456,B-H02,PECO 2024,,,,,,,,,,
PECOe-1457,B-A03,PECO 2024,,,,,,,,,,
PECOe-1458,B-B03,PECO 2024,,,,,,,,,,
PECOe-1459,B-C03,PECO 2024,,,,,,,,,,
PECOe-1460,B-D03,PECO 2024,,,,,,,,,,
PECOe-1461,B-E03,PECO 2024,,,,,,,,,,
PECOe-1462,B-F03,PECO 2024,,,,,,,,,,
PECOe-1463,B-G03,PECO 2024,,,,,,,,,,
PECOe-1464,B-H03,PECO 2024,,,,,,,,,,
PECOe-1465,B-A04,PECO 2024,,,,,,,,,,
PECOe-1466,B-B04,PECO 2024,,,,,,,,,,
PECOe-1467,B-C04,PECO 2024,,,,,,,,,,
PECOe-1468,B-D04,PECO 2024,,,,,,,,,,
PECOe-1469,B-E04,PECO 2024,,,,,,,,,,
PECOe-1470,B-F04,PECO 2024,,,,,,,,,,
PECOe-1471,B-G04,PECO 2024,,,,,,,,,,
PECOe-1472,B-H04,PECO 2024,,,,,,,,,,
PECOe-1473,B-A05,PECO 2024,,,,,,,,,,
PECOe-1474,B-B05,PECO 2024,,,,,,,,,,
PECOe-1475,B-C05,PECO 2024,,,,,,,,,,
PECOe-1476,B-D05,PECO 2024,,,,,,,,,,
PECOe-1477,B-E05,PECO 2024,,,,,,,,,,
PECOe-1478,B-F05,PECO 2024,,,,,,,,,,
PECOe-1479,B-G05,PECO 2024,,,,,,,,,,
PECOe-1480,B-H05,PECO 2024,,,,,,,,,,
PECOe-1481,B-A06,PECO 2024,,,,,,,,,,
PECOe-1482,B-B06,PECO 2024,,,,,,,,,,
PECOe-1483,B-C06,PECO 2024,,,,,,,,,,
PECOe-1484,B-D06,PECO 2024,,,,,,,,,,
PECOe-1485,B-E06,PECO 2024,,,,,,,,,,
PECOe-1486,B-F06,PECO 2024,,,,,,,,,,
PECOe-1487,B-G06,PECO 2024,,,,,,,,,,
PECOe-1488,B-H06,PECO 2024,,,,,,,,,,
PECOe-1489,B-A07,PECO 2024,,,,,,,,,,
PECOe-1490,B-B07,PECO 2024,,,,,,,,,,
PECOe-1491,B-C07,PECO 2024,,,,,,,,,,
PECOe-1492,B-D07,PECO 2024,,,,,,,,,,
PECOe-1493,B-E07,PECO 2024,,,,,,,,,,
PECOe-1494,B-F07,PECO 2024,,,,,,,,,,
PECOe-1495,B-G07,PECO 2024,,,,,,,,,,
PECOe-1496,B-H07,PECO 2024,,,,,,,,,,
PECOe-1497,B-A08,PECO 2024,,,,,,,,,,
PECOe-1498,B-B08,PECO 2024,,,,,,,,,,
PECOe-1499,B-C08,PECO 2024,,,,,,,,,,
PECOe-1500,B-D08,PECO 2024,,,,,,,,,,
PECOe-1501,B-E08,PECO 2024,,,,,,,,,,
PECOe-1502,B-F08,PECO 2024,,,,,,,,,,
PECOe-1503,B-G08,PECO 2024,,,,,,,,,,
PECOe-1504,B-H08,PECO 2024,,,,,,,,,,
PECOe-1505,B-A09,PECO 2024,,,,,,,,,,
PECOe-1506,B-B09,PECO 2024,,,,,,,,,,
PECOe-1507,B-C09,PECO 2024,,,,,,,,,,
PECOe-1508,B-D09,PECO 2024,,,,,,,,,,
PECOe-1509,B-E09,PECO 2024,,,,,,,,,,
PECOe-1510,B-F09,PECO 2024,,,,,,,,,,
PECOe-1511,B-G09,PECO 2024,,,,,,,,,,
PECOe-1512,B-H09,PECO 2024,,,,,,,,,,
PECOe-1513,B-A10,PECO 2024,,,,,,,,,,
PECOe-1514,B-B10,PECO 2024,,,,,,,,,,
PECOe-1515,B-C10,PECO 2024,,,,,,,,,,
PECOe-1516,B-D10,PECO 2024,,,,,,,,,,
PECOe-1517,B-E10,PECO 2024,,,,,,,,,,
PECOe-1518,B-F10,PECO 2024,,,,,,,,,,
PECOe-1519,B-G10,PECO 2024,,,,,,,,,,
PECOe-1520,B-H10,PECO 2024,,,,,,,,,,
PECOe-1521,B-A11,PECO 2024,,,,,,,,,,
PECOe-1522,B-B11,PECO 2024,,,,,,,,,,
PECOe-1523,B-C11,PECO 2024,,,,,,,,,,
PECOe-1524,B-D11,PECO 2024,,,,,,,,,,
PECOe-1525,B-E11,PECO 2024,,,,,,,,,,
PECOe-1526,B-F11,PECO 2024,,,,,,,,,,
PECOe-1527,B-G11,PECO 2024,,,,,,,,,,
PECOe-1528,B-H11,PECO 2024,,,,,,,,,,
PECOe-1529,B-A12,PECO 2024,,,,,,,,,,
PECOe-1530,B-B12,PECO 2024,,,,,,,,,,
PECOe-1531,B-C12,PECO 2024,,,,,,,,,,
PECOe-1532,B-D12,PECO 2024,,,,,,,,,,
PECOe-1533,B-E12,PECO 2024,,,,,,,,,,
PECOe-1534,B-F12,PECO 2024,,,,,,,,,,
PECOe-1535,B-G12,PECO 2024,,,,,,,,,,
Neg_PCR2_2024,B-H12,PECO 2024,,,,,,,,,,
PECOe-1536,C-A01,PECO 2024,,,,,,,,,,
PECOe-1537,C-B01,PECO 2024,,,,,,,,,,
PECOe-1538,C-C01,PECO 2024,,,,,,,,,,
PECOe-1539,C-D01,PECO 2024,,,,,,,,,,
PECOe-1540,C-E01,PECO 2024,,,,,,,,,,
PECOe-1541,C-F01,PECO 2024,,,,,,,,,,
PECOe-1542,C-G01,PECO 2024,,,,,,,,,,
PECOe-1543,C-H01,PECO 2024,,,,,,,,,,
PECOe-1544,C-A02,PECO 2024,,,,,,,,,,
PECOe-1545,C-B02,PECO 2024,,,,,,,,,,
PECOe-1546,C-C02,PECO 2024,,,,,,,,,,
PECOe-1547,C-D02,PECO 2024,,,,,,,,,,
PECOe-1548,C-E02,PECO 2024,,,,,,,,,,
PECOe-1549,C-F02,PECO 2024,,,,,,,,,,
PECOe-1550,C-G02,PECO 2024,,,,,,,,,,
PECOe-1551,C-H02,PECO 2024,,,,,,,,,,
PECOe-1552,C-A03,PECO 2024,,,,,,,,,,
PECOe-1553,C-B03,PECO 2024,,,,,,,,,,
PECOe-1554,C-C03,PECO 2024,,,,,,,,,,
PECOe-1555,C-D03,PECO 2024,,,,,,,,,,
PECOe-1556,C-E03,PECO 2024,,,,,,,,,,
PECOe-1557,C-F03,PECO 2024,,,,,,,,,,
PECOe-1558,C-G03,PECO 2024,,,,,,,,,,
PECOe-1559,C-H03,PECO 2024,,,,,,,,,,
PECOe-1560,C-A04,PECO 2024,,,,,,,,,,
PECOe-1561,C-B04,PECO 2024,,,,,,,,,,
PECOe-1562,C-C04,PECO 2024,,,,,,,,,,
PECOe-1563,C-D04,PECO 2024,,,,,,,,,,
PECOe-1564,C-E04,PECO 2024,,,,,,,,,,
PECOe-1565,C-F04,PECO 2024,,,,,,,,,,
PECOe-1566,C-G04,PECO 2024,,,,,,,,,,
PECOe-1567,C-H04,PECO 2024,,,,,,,,,,
PECOe-1568,C-A05,PECO 2024,,,,,,,,,,
PECOe-1569,C-B05,PECO 2024,,,,,,,,,,
PECOe-1570,C-C05,PECO 2024,,,,,,,,,,
PECOe-1571,C-D05,PECO 2024,,,,,,,,,,
PECOe-1572,C-E05,PECO 2024,,,,,,,,,,
PECOe-1573,C-F05,PECO 2024,,,,,,,,,,
PECOe-1574,C-G05,PECO 2024,,,,,,,,,,
PECOe-1575,C-H05,PECO 2024,,,,,,,,,,
PECOe-1576,C-A06,PECO 2024,,,,,,,,,,
PECOe-1577,C-B06,PECO 2024,,,,,,,,,,
PECOe-1578,C-C06,PECO 2024,,,,,,,,,,
PECOe-1579,C-D06,PECO 2024,,,,,,,,,,
PECOe-1580,C-E06,PECO 2024,,,,,,,,,,
PECOe-1581,C-F06,PECO 2024,,,,,,,,,,
PECOe-1582,C-G06,PECO 2024,,,,,,,,,,
PECOe-1583,C-H06,PECO 2024,,,,,,,,,,
PECOe-1584,C-A07,PECO 2024,,,,,,,,,,
PECOe-1585,C-B07,PECO 2024,,,,,,,,,,
PECOe-1586,C-C07,PECO 2024,,,,,,,,,,
PECOe-1587,C-D07,PECO 2024,,,,,,,,,,
PECOe-1588,C-E07,PECO 2024,,,,,,,,,,
PECOe-1589,C-F07,PECO 2024,,,,,,,,,,
PECOe-1590,C-G07,PECO 2024,,,,,,,,,,
PECOe-1591,C-H07,PECO 2024,,,,,,,,,,
PECOe-1592,C-A08,PECO 2024,,,,,,,,,,
PECOe-1593,C-B08,PECO 2024,,,,,,,,,,
PECOe-1594,C-C08,PECO 2024,,,,,,,,,,
PECOe-1595,C-D08,PECO 2024,,,,,,,,,,
PECOe-1596,C-E08,PECO 2024,,,,,,,,,,
PECOe-1597,C-F08,PECO 2024,,,,,,,,,,
PECOe-1598,C-G08,PECO 2024,,,,,,,,,,
PECOe-1599,C-H08,PECO 2024,,,,,,,,,,
PECOe-1600,C-A09,PECO 2024,,,,,,,,,,
PECOe-1601,C-B09,PECO 2024,,,,,,,,,,
PECOe-1602,C-C09,PECO 2024,,,,,,,,,,
PECOe-1603,C-D09,PECO 2024,,,,,,,,,,
PECOe-1604,C-E09,PECO 2024,,,,,,,,,,
PECOe-1605,C-F09,PECO 2024,,,,,,,,,,
PECOe-1606,C-G09,PECO 2024,,,,,,,,,,
PECOe-1607,C-H09,PECO 2024,,,,,,,,,,
PECOe-1608,C-A10,PECO 2024,,,,,,,,,,
PECOe-1609,C-B10,PECO 2024,,,,,,,,,,
PECOe-1610,C-C10,PECO 2024,,,,,,,,,,
PECOe-1611,C-D10,PECO 2024,,,,,,,,,,
PECOe-1612,C-E10,PECO 2024,,,,,,,,,,
PECOe-1613,C-F10,PECO 2024,,,,,,,,,,
PECOe-1614,C-G10,PECO 2024,,,,,,,,,,
PECOe-1615,C-H10,PECO 2024,,,,,,,,,,
PECOe-1616,C-A11,PECO 2024,,,,,,,,,,
PECOe-1617,C-B11,PECO 2024,,,,,,,,,,
PECOe-1618,C-C11,PECO 2024,,,,,,,,,,
PECOe-1619,C-D11,PECO 2024,,,,,,,,,,
PECOe-1620,C-E11,PECO 2024,,,,,,,,,,
PECOe-1621,C-F11,PECO 2024,,,,,,,,,,
PECOe-1622,C-G11,PECO 2024,,,,,,,,,,
PECOe-1623,C-H11,PECO 2024,,,,,,,,,,
PECOe-1624,C-A12,PECO 2024,,,,,,,,,,
PECOe-1625,C-B12,PECO 2024,,,,,,,,,,
PECOe-1626,C-C12,PECO 2024,,,,,,,,,,
PECOe-1627,C-D12,PECO 2024,,,,,,,,,,
PECOe-1628,C-E12,PECO 2024,,,,,,,,,,
PECOe-1629,C-F12,PECO 2024,,,,,,,,,,
PECOe-1630,C-G12,PECO 2024,,,,,,,,,,
Neg_PCR3_2024,C-H12,PECO 2024,,,,,,,,,,
PECOe-1631,D-A01,PECO 2024,,,,,,,,,,
PECOe-1632,D-B01,PECO 2024,,,,,,,,,,
PECOe-1633,D-C01,PECO 2024,,,,,,,,,,
PECOe-1634,D-D01,PECO 2024,,,,,,,,,,
PECOe-1635,D-E01,PECO 2024,,,,,,,,,,
PECOe-1636,D-F01,PECO 2024,,,,,,,,,,
PECOe-1637,D-G01,PECO 2024,,,,,,,,,,
PECOe-1638,D-H01,PECO 2024,,,,,,,,,,
PECOe-1639,D-A02,PECO 2024,,,,,,,,,,
PECOe-1640,D-B02,PECO 2024,,,,,,,,,,
PECOe-1641,D-C02,PECO 2024,,,,,,,,,,
PECOe-1642,D-D02,PECO 2024,,,,,,,,,,
PECOe-1643,D-E02,PECO 2024,,,,,,,,,,
PECOe-1644,D-F02,PECO 2024,,,,,,,,,,
PECOe-1645,D-G02,PECO 2024,,,,,,,,,,
PECOe-1646,D-H02,PECO 2024,,,,,,,,,,
PECOe-1647,D-A03,PECO 2024,,,,,,,,,,
PECOe-1648,D-B03,PECO 2024,,,,,,,,,,
PECOe-1649,D-C03,PECO 2024,,,,,,,,,,
PECOe-1650,D-D03,PECO 2024,,,,,,,,,,
PECOe-1651,D-E03,PECO 2024,,,,,,,,,,
PECOe-1652,D-F03,PECO 2024,,,,,,,,,,
PECOe-1653,D-G03,PECO 2024,,,,,,,,,,
PECOe-1654,D-H03,PECO 2024,,,,,,,,,,
PECOe-1655,D-A04,PECO 2024,,,,,,,,,,
PECOe-1656,D-B04,PECO 2024,,,,,,,,,,
PECOe-1657,D-C04,PECO 2024,,,,,,,,,,
PECOe-1658,D-D04,PECO 2024,,,,,,,,,,
PECOe-1659,D-E04,PECO 2024,,,,,,,,,,
PECOe-1660,D-F04,PECO 2024,,,,,,,,,,
PECOe-1661,D-G04,PECO 2024,,,,,,,,,,
PECOe-1662,D-H04,PECO 2024,,,,,,,,,,
PECOe-1663,D-A05,PECO 2024,,,,,,,,,,
PECOe-1664,D-B05,PECO 2024,,,,,,,,,,
PECOe-1665,D-C05,PECO 2024,,,,,,,,,,
PECOe-1666,D-D05,PECO 2024,,,,,,,,,,
PECOe-1667,D-E05,PECO 2024,,,,,,,,,,
PECOe-1668,D-F05,PECO 2024,,,,,,,,,,
PECOe-1669,D-G05,PECO 2024,,,,,,,,,,
PECOe-1670,D-H05,PECO 2024,,,,,,,,,,
PECOe-1671,D-A06,PECO 2024,,,,,,,,,,
PECOe-1672,D-B06,PECO 2024,,,,,,,,,,
PECOe-1673,D-C06,PECO 2024,,,,,,,,,,
PECOe-1674,D-D06,PECO 2024,,,,,,,,,,
PECOe-1675,D-E06,PECO 2024,,,,,,,,,,
PECOe-1676,D-F06,PECO 2024,,,,,,,,,,
PECOe-1677,D-G06,PECO 2024,,,,,,,,,,
PECOe-1678,D-H06,PECO 2024,,,,,,,,,,
PECOe-1679,D-A07,PECO 2024,,,,,,,,,,
PECOe-1680,D-B07,PECO 2024,,,,,,,,,,
PECOe-1681,D-C07,PECO 2024,,,,,,,,,,
PECOe-1682,D-D07,PECO 2024,,,,,,,,,,
PECOe-1683,D-E07,PECO 2024,,,,,,,,,,
PECOe-1684,D-F07,PECO 2024,,,,,,,,,,
PECOe-1685,D-G07,PECO 2024,,,,,,,,,,
PECOe-1686,D-H07,PECO 2024,,,,,,,,,,
PECOe-1687,D-A08,PECO 2024,,,,,,,,,,
PECOe-1688,D-B08,PECO 2024,,,,,,,,,,
PECOe-1689,D-C08,PECO 2024,,,,,,,,,,
PECOe-1690,D-D08,PECO 2024,,,,,,,,,,
PECOe-1691,D-E08,PECO 2024,,,,,,,,,,
PECOe-1692,D-F08,PECO 2024,,,,,,,,,,
PECOe-1693,D-G08,PECO 2024,,,,,,,,,,
PECOe-1694,D-H08,PECO 2024,,,,,,,,,,
PECOe-1695,D-A09,PECO 2024,,,,,,,,,,
PECOe-1696,D-B09,PECO 2024,,,,,,,,,,
PECOe-1697,D-C09,PECO 2024,,,,,,,,,,
PECOe-1698,D-D09,PECO 2024,,,,,,,,,,
PECOe-1699,D-E09,PECO 2024,,,,,,,,,,
PECOe-1700,D-F09,PECO 2024,,,,,,,,,,
PECOe-1701,D-G09,PECO 2024,,,,,,,,,,
PECOe-1702,D-H09,PECO 2024,,,,,,,,,,
PECOe-1703,D-A10,PECO 2024,,,,,,,,,,
PECOe-1704,D-B10,PECO 2024,,,,,,,,,,
PECOe-1705,D-C10,PECO 2024,,,,,,,,,,
EXBLANK-2024-062,D-D10,PECO 2024,,,,,,,,,,
EXBLANK-2024-063,D-E10,PECO 2024,,,,,,,,,,
EXBLANK-2024-064,D-F10,PECO 2024,,,,,,,,,,
EXBLANK-2024-065,D-G10,PECO 2024,,,,,,,,,,
EXBLANK-2024-066,D-H10,PECO 2024,,,,,,,,,,
EXBLANK-2024-067,D-A11,PECO 2024,,,,,,,,,,
EXBLANK-2024-068,D-B11,PECO 2024,,,,,,,,,,
EXBLANK-2024-069,D-C11,PECO 2024,,,,,,,,,,
EXBLANK-2024-070,D-D11,PECO 2024,,,,,,,,,,
EXBLANK-2024-071,D-E11,PECO 2024,,,,,,,,,,
EXBLANK-2024-072,D-F11,PECO 2024,,,,,,,,,,
EXBLANK-2024-073,D-G11,PECO 2024,,,,,,,,,,
EXBLANK-2024-074,D-H11,PECO 2024,,,,,,,,,,
EXBLANK-2024-082,D-A12,PECO 2024,,,,,,,,,,
EXBLANK-2024-083,D-B12,PECO 2024,,,,,,,,,,
EXBLANK-2024-086,D-C12,PECO 2024,,,,,,,,,,
EXBLANK-2024-087,D-D12,PECO 2024,,,,,,,,,,
EXBLANK-2024-089,D-E12,PECO 2024,,,,,,,,,,
EXBLANK-2024-080,D-F12,PECO 2024,,,,,,,,,,
EXBLANK-2024-081,D-G12,PECO 2024,,,,,,,,,,
Neg_PCR4_2024,D-H12,PECO 2024,,,,,,,,,,
