"","found_taxa","hakai_all","mifishlist","ednaasv","npfish"
"125","Abudefduf whitleyi",0,1,0,0
"126","Acanthaluteres vittiger",0,1,0,0
"127","Acanthaphritis barbata",0,1,0,0
"128","Acanthaphritis unoorum",0,1,0,0
"129","Acantharchus pomotis",0,1,0,0
"130","Acanthemblemaria aspera",0,1,0,0
"131","Acanthemblemaria crockeri",0,1,0,0
"132","Acanthistius ocellatus",0,1,0,0
"133","Acanthistius serratus",0,1,0,0
"134","Acanthobrama lissneri",0,1,0,0
"135","Acanthobrama telavivensis",0,1,0,0
"136","Acanthocepola abbreviata",0,1,0,0
"137","Acanthocepola indica",0,1,0,0
"138","Acanthocepola krusensternii",0,1,0,0
"139","Acanthocepola limbata",0,1,0,0
"140","Acanthochromis polyacanthus",0,1,0,0
"141","Acanthocobitis botia",0,1,0,0
"142","Acanthocybium solandri",0,1,0,0
"143","Acanthodoras cataphractus",0,1,0,0
"144","Acanthogobius flavimanus",0,1,0,0
"145","Acanthogobius hasta",0,1,0,0
"146","Acanthogobius insularis",0,1,0,0
"147","Acanthogobius lactipes",0,1,0,0
"148","Acanthogobius luridus",0,1,0,0
"149","Acantholabrus palloni",0,1,0,0
"150","Acanthonus armatus",0,1,0,0
"151","Acanthopagrus arabicus",0,1,0,0
"152","Acanthopagrus australis",0,1,0,0
"153","Acanthopagrus berda",0,1,0,0
"154","Acanthopagrus bifasciatus",0,1,0,0
"155","Acanthopagrus butcheri",0,1,0,0
"156","Acanthopagrus catenula",0,1,0,0
"157","Acanthopagrus datnia",0,1,0,0
"158","Acanthopagrus latus",0,1,0,0
"159","Acanthopagrus pacificus",0,1,0,0
"160","Acanthopagrus schlegelii",0,1,0,0
"161","Acanthopagrus sheim",0,1,0,0
"162","Acanthopagrus sivicolus",0,1,0,0
"163","Acanthopagrus taiwanensis",0,1,0,0
"164","Acanthoplesiops psilogaster",0,1,0,0
"165","Acanthopoma annectens",0,1,0,0
"166","Acanthopsetta nadeshnyi",0,1,0,0
"167","Acanthorhodeus chankaensis",0,1,0,0
"168","Acanthostracion polygonium",0,1,0,0
"169","Acanthostracion quadricornis",0,1,0,0
"170","Acanthurus achilles",0,1,0,0
"171","Acanthurus auranticavus",0,1,0,0
"172","Acanthurus bariene",0,1,0,0
"173","Acanthurus blochii",0,1,0,0
"174","Acanthurus dussumieri",0,1,0,0
"175","Acanthurus grammoptilus",0,1,0,0
"176","Acanthurus guttatus",0,1,0,0
"177","Acanthurus japonicus",0,1,0,0
"178","Acanthurus leucocheilus",0,1,0,0
"179","Acanthurus leucopareius",0,1,0,0
"180","Acanthurus leucosternon",0,1,0,0
"181","Acanthurus lineatus",0,1,0,0
"182","Acanthurus maculiceps",0,1,0,0
"183","Acanthurus mata",0,1,0,0
"184","Acanthurus monroviae",0,1,0,0
"185","Acanthurus nigricans",0,1,0,0
"186","Acanthurus nigricauda",0,1,0,0
"187","Acanthurus nigrofuscus",0,1,0,0
"188","Acanthurus nigroris",0,1,0,0
"189","Acanthurus nubilus",0,1,0,0
"190","Acanthurus olivaceus",0,1,0,0
"191","Acanthurus pyroferus",0,1,0,0
"192","Acanthurus sohal",0,1,0,0
"193","Acanthurus tennentii",0,1,0,0
"194","Acanthurus thompsoni",0,1,0,0
"195","Acanthurus triostegus",0,1,0,0
"196","Acanthurus tristis",0,1,0,0
"197","Acanthurus xanthopterus",0,1,0,0
"198","Acantopsis dialuzona",0,1,0,0
"199","Acantopsis dinema",0,1,0,0
"200","Acantopsis ioa",0,1,0,0
"201","Acantopsis rungthipae",0,1,0,0
"202","Acantopsis spectabilis",0,1,0,0
"203","Acantopsis thiemmedhi",0,1,0,0
"204","Acapoeta tanganicae",0,1,0,0
"205","Acarichthys heckelii",0,1,0,0
"206","Acaronia nassa",0,1,0,0
"207","Acentrogobius caninus",0,1,0,0
"208","Acentrogobius chlorostigmatoides",0,1,0,0
"209","Acentrogobius janthinopterus",0,1,0,0
"210","Acentrogobius moloanus",0,1,0,0
"211","Acentrogobius multifasciatus",0,1,0,0
"212","Acentrogobius nebulosus",0,1,0,0
"213","Acentrogobius pflaumii",0,1,0,0
"214","Acentrogobius viganensis",0,1,0,0
"215","Acentrogobius virgatulus",0,1,0,0
"216","Acentronura breviperula",0,1,0,0
"217","Acentronura tentaculata",0,1,0,0
"218","Acestrorhynchus altus",0,1,0,0
"219","Acestrorhynchus britskii",0,1,0,0
"220","Acestrorhynchus falcatus",0,1,0,0
"221","Acestrorhynchus falcirostris",0,1,0,0
"222","Acestrorhynchus grandoculis",0,1,0,0
"223","Acestrorhynchus heterolepis",0,1,0,0
"224","Acestrorhynchus lacustris",0,1,0,0
"225","Acestrorhynchus microlepis",0,1,0,0
"226","Acestrorhynchus minimus",0,1,0,0
"227","Acestrorhynchus nasutus",0,1,0,0
"228","Acestrorhynchus pantaneiro",0,1,0,0
"229","Acheilognathus barbatulus",0,1,0,0
"230","Acheilognathus barbatus",0,1,0,0
"231","Acheilognathus cyanostigma",0,1,0,0
"232","Acheilognathus imberbis",0,1,0,0
"233","Acheilognathus longipinnis",0,1,0,0
"234","Acheilognathus macropterus",0,1,0,0
"235","Acheilognathus melanogaster",0,1,0,0
"236","Acheilognathus meridianus",0,1,0,0
"237","Acheilognathus rhombeus",0,1,0,0
"238","Acheilognathus tabira",0,1,0,0
"239","Acheilognathus tonkinensis",0,1,0,0
"240","Acheilognathus typus",0,1,0,0
"241","Acheilognathus yamatsutae",0,1,0,0
"242","Achiroides leucorhynchos",0,1,0,0
"243","Achirus declivis",0,1,0,0
"244","Achirus lineatus",0,1,0,0
"245","Achondrostoma arcasii",0,1,0,0
"246","Achondrostoma occidentale",0,1,0,0
"247","Achondrostoma oligolepis",0,1,0,0
"248","Achondrostoma salmantinum",0,1,0,0
"249","Acinocheirodon melanogramma",0,1,0,0
"250","Acipenser baerii",0,1,0,0
"251","Acipenser brevirostrum",0,1,0,0
"252","Acipenser fulvescens",0,1,0,0
"253","Acipenser gueldenstaedtii",0,1,0,0
"254","Acipenser medirostris",0,1,0,0
"255","Acipenser mikadoi",0,1,0,0
"256","Acipenser naccarii",0,1,0,0
"257","Acipenser nudiventris",0,1,0,0
"258","Acipenser oxyrinchus",0,1,0,0
"259","Acipenser persicus",0,1,0,0
"260","Acipenser ruthenus",0,1,0,0
"261","Acipenser schrenckii",0,1,0,0
"262","Acipenser sinensis",0,1,0,0
"263","Acipenser stellatus",0,1,0,0
"264","Acipenser sturio",0,1,0,0
"265","Acipenser transmontanus",0,1,0,0
"266","Acnodon normani",0,1,0,0
"267","Acnodon oligacanthus",0,1,0,0
"268","Acreichthys hajam",0,1,0,0
"269","Acreichthys tomentosus",0,1,0,0
"270","Acrobrycon ipanquianus",0,1,0,0
"271","Acrocheilus alutaceus",0,1,0,0
"272","Acromycter nezumi",0,1,0,0
"273","Acropoma hanedai",0,1,0,0
"274","Acropoma japonicum",0,1,0,0
"275","Acropoma lecorneti",0,1,0,0
"276","Acrossocheilus beijiangensis",0,1,0,0
"277","Acrossocheilus fasciatus",0,1,0,0
"278","Acrossocheilus hemispinus",0,1,0,0
"279","Acrossocheilus iridescens",0,1,0,0
"280","Acrossocheilus jishouensis",0,1,0,0
"281","Acrossocheilus kreyenbergii",0,1,0,0
"282","Acrossocheilus longipinnis",0,1,0,0
"283","Acrossocheilus monticola",0,1,0,0
"284","Acrossocheilus paradoxus",0,1,0,0
"285","Acrossocheilus parallens",0,1,0,0
"286","Acrossocheilus spinifer",0,1,0,0
"287","Acrossocheilus wenchowensis",0,1,0,0
"288","Acrossocheilus wuyiensis",0,1,0,0
"289","Acrossocheilus yunnanensis",0,1,0,0
"290","Acroteriobatus annulatus",0,1,0,0
"291","Acroteriobatus blochii",0,1,0,0
"292","Acroteriobatus leucospilus",0,1,0,0
"293","Acyrtops beryllinus",0,1,0,0
"294","Acyrtus artius",0,1,0,0
"295","Acyrtus rubiginosus",0,1,0,0
"296","Adrianichthys oophorus",0,1,0,0
"297","Aeoliscus strigatus",0,1,0,0
"298","Aequidens metae",0,1,0,0
"299","Aequidens pallidus",0,1,0,0
"300","Aesopia cornuta",0,1,0,0
"301","Aethaloperca rogaa",0,1,0,0
"302","Aethotaxis mitopteryx",0,1,0,0
"303","Aetobatus narinari",0,1,0,0
"304","Aetobatus narutobiei",0,1,0,0
"305","Aetobatus ocellatus",0,1,0,0
"306","Aetomylaeus bovinus",0,1,0,0
"307","Aetomylaeus milvus",0,1,0,0
"308","Aetomylaeus nichofii",0,1,0,0
"309","Afronandus sheljuzhkoi",0,1,0,0
"310","Afurcagobius tamarensis",0,1,0,0
"311","Ageneiosus inermis",0,1,0,0
"312","Ageneiosus magoi",0,1,0,0
"313","Ageneiosus militaris",0,1,0,0
"314","Ageneiosus pardalis",0,1,0,0
"315","Ageneiosus ucayalensis",0,1,0,0
"316","Ageneiosus uranophthalmus",0,1,0,0
"317","Agoniates halecinus",0,1,0,0
"318","Agonomalus jordani",0,1,0,0
"319","Agonomalus mozinoi",0,1,0,1
"320","Agonomalus proboscidalis",0,1,0,0
"321","Agonopsis sterletus",0,1,0,0
"322","Agonopsis vulsa",0,1,0,1
"323","Agonostomus telfairii",0,1,0,0
"324","Agonus cataphractus",0,1,0,0
"325","Agosia chrysogaster",0,1,0,0
"326","Ahlia egmontis",0,1,0,0
"327","Aidablennius sphynx",0,1,0,0
"328","Ailia coila",0,1,0,0
"329","Akarotaxis nudiceps",0,1,0,0
"330","Alabes dorsalis",0,1,0,0
"331","Alabes hoesei",0,1,0,0
"332","Alabes scotti",0,1,0,0
"333","Albatrossia pectoralis",0,1,0,1
"334","Albula argentea",0,1,0,0
"335","Albula glossodonta",0,1,0,0
"336","Albula goreensis",0,1,0,0
"337","Albula koreana",0,1,0,0
"338","Albula pacifica",0,1,0,0
"339","Albula virgata",0,1,0,0
"340","Albula vulpes",0,1,0,0
"341","Alburnoides bipunctatus",0,1,0,0
"342","Alburnus alburnus",0,1,0,0
"343","Alburnus arborella",0,1,0,0
"344","Alburnus tarichi",0,1,0,0
"345","Alcichthys elongatus",0,1,0,0
"346","Aldrichetta forsteri",0,1,0,0
"347","Aldrovandia affinis",0,1,0,0
"348","Aldrovandia oleosa",0,1,0,0
"349","Aldrovandia phalacra",0,1,0,0
"350","Aldrovandia rostrata",0,1,0,0
"351","Alectis ciliaris",0,1,0,0
"352","Alectrias alectrolophus",0,1,0,0
"353","Alectrias benjamini",0,1,0,0
"354","Alepes apercna",0,1,0,0
"355","Alepes djedaba",0,1,0,0
"356","Alepes kleinii",0,1,0,0
"357","Alepes melanoptera",0,1,0,0
"358","Alepes vari",0,1,0,0
"359","Alepisaurus ferox",0,1,0,1
"360","Alepocephalus agassizii",0,1,0,0
"361","Alepocephalus australis",0,1,0,0
"362","Alepocephalus bairdii",0,1,0,0
"363","Alepocephalus bicolor",0,1,0,0
"364","Alepocephalus longiceps",0,1,0,0
"365","Alepocephalus productus",0,1,0,0
"366","Alepocephalus tenebrosus",0,1,0,1
"367","Alepocephalus umbriceps",0,1,0,0
"368","Alestes macrophthalmus",0,1,0,0
"369","Alestopetersius caudalis",0,1,0,0
"370","Alestopetersius hilgendorfi",0,1,0,0
"371","Alfaro cultratus",0,1,0,0
"372","Alionematichthys riukiuensis",0,1,0,0
"373","Allenbatrachus grunniens",0,1,0,0
"374","Allocareproctus jordani",0,1,0,1
"375","Alloclinus holderi",0,1,0,0
"376","Allocyttus folletti",0,1,0,0
"377","Allocyttus verrucosus",0,1,0,0
"378","Allomycterus pilatus",0,1,0,0
"379","Allosmerus elongatus",0,1,0,1
"380","Allothunnus fallai",0,1,0,0
"381","Alopias pelagicus",0,1,0,0
"382","Alopias superciliosus",0,1,0,0
"383","Alopias vulpinus",0,1,0,1
"384","Alosa aestivalis",0,1,0,0
"385","Alosa agone",0,1,0,0
"386","Alosa alabamae",0,1,0,0
"387","Alosa alosa",0,1,0,0
"388","Alosa chrysochloris",0,1,0,0
"389","Alosa fallax",0,1,0,0
"390","Alosa mediocris",0,1,0,0
"391","Alosa pseudoharengus",0,1,0,0
"392","Alosa sapidissima",0,1,0,1
"393","Alphestes afer",0,1,0,0
"394","Alphestes immaculatus",0,1,0,0
"395","Alphestes multiguttatus",0,1,0,0
"396","Alticus kirkii",0,1,0,0
"397","Alticus montanoi",0,1,0,0
"398","Alticus orientalis",0,1,0,0
"399","Alticus simplicirrus",0,1,0,0
"400","Altrichthys azurelineatus",0,1,0,0
"401","Altrichthys curatus",0,1,0,0
"402","Aluterus monoceros",0,1,0,0
"403","Aluterus schoepfii",0,1,0,0
"404","Aluterus scriptus",0,1,0,0
"405","Amamiichthys matsubarai",0,1,0,0
"406","Amanses scopas",0,1,0,0
"407","Amarsipus carlsbergi",0,1,0,0
"408","Amatitlania nigrofasciata",0,1,0,0
"409","Amatitlania sajica",0,1,0,0
"410","Ambassis agassizii",0,1,0,0
"411","Ambassis ambassis",0,1,0,0
"412","Ambassis buruensis",0,1,0,0
"413","Ambassis dussumieri",0,1,0,0
"414","Ambassis gymnocephalus",0,1,0,0
"415","Ambassis interrupta",0,1,0,0
"416","Ambassis jacksoniensis",0,1,0,0
"417","Ambassis kopsii",0,1,0,0
"418","Ambassis macracanthus",0,1,0,0
"419","Ambassis marianus",0,1,0,0
"420","Ambassis miops",0,1,0,0
"421","Ambassis nalua",0,1,0,0
"422","Ambassis urotaenia",0,1,0,0
"423","Ambassis vachellii",0,1,0,0
"424","Ambastaia nigrolineata",0,1,0,0
"425","Ambastaia sidthimunki",0,1,0,0
"426","Ambloplites ariommus",0,1,0,0
"427","Ambloplites cavifrons",0,1,0,0
"428","Ambloplites constellatus",0,1,0,0
"429","Ambloplites rupestris",0,1,0,0
"430","Amblyceps mangois",0,1,0,0
"431","Amblyceps murraystuarti",0,1,0,0
"432","Amblychaeturichthys hexanema",0,1,0,0
"433","Amblychaeturichthys sciistius",0,1,0,0
"434","Amblycirrhitus bimacula",0,1,0,0
"435","Amblycirrhitus pinos",0,1,0,0
"436","Amblycirrhitus unimacula",0,1,0,0
"437","Amblyeleotris diagonalis",0,1,0,0
"438","Amblyeleotris fasciata",0,1,0,0
"439","Amblyeleotris guttata",0,1,0,0
"440","Amblyeleotris gymnocephala",0,1,0,0
"441","Amblyeleotris japonica",0,1,0,0
"442","Amblyeleotris latifasciata",0,1,0,0
"443","Amblyeleotris marquesas",0,1,0,0
"444","Amblyeleotris masuii",0,1,0,0
"445","Amblyeleotris melanocephala",0,1,0,0
"446","Amblyeleotris ogasawarensis",0,1,0,0
"447","Amblyeleotris rubrimarginata",0,1,0,0
"448","Amblyeleotris steinitzi",0,1,0,0
"449","Amblyeleotris wheeleri",0,1,0,0
"450","Amblygaster leiogaster",0,1,0,0
"451","Amblygaster sirm",0,1,0,0
"452","Amblyglyphidodon aureus",0,1,0,0
"453","Amblyglyphidodon curacao",0,1,0,0
"454","Amblyglyphidodon indicus",0,1,0,0
"455","Amblyglyphidodon leucogaster",0,1,0,0
"456","Amblyglyphidodon melanopterus",0,1,0,0
"457","Amblyglyphidodon orbicularis",0,1,0,0
"458","Amblyglyphidodon ternatensis",0,1,0,0
"459","Amblygobius decussatus",0,1,0,0
"460","Amblygobius nocturnus",0,1,0,0
"461","Amblygobius phalaena",0,1,0,0
"462","Amblygobius stethophthalmus",0,1,0,0
"463","Amblypharyngodon chulabhornae",0,1,0,0
"464","Amblypharyngodon mola",0,1,0,0
"465","Amblypomacentrus breviceps",0,1,0,0
"466","Amblyraja hyperborea",0,1,0,1
"467","Amblyraja jenseni",0,1,0,0
"468","Amblyraja radiata",0,1,0,0
"469","Ameiurus brunneus",0,1,0,0
"470","Ameiurus catus",0,1,0,0
"471","Ameiurus melas",0,1,0,0
"472","Ameiurus natalis",0,1,0,0
"473","Ameiurus nebulosus",0,1,0,0
"474","Amia calva",0,1,0,0
"475","Amioides polyacanthus",0,1,0,0
"476","Amissidens hainesi",0,1,0,0
"477","Ammocrypta clara",0,1,0,0
"478","Ammocrypta vivax",0,1,0,0
"479","Ammocryptocharax elegans",0,1,0,0
"480","Ammodytes americanus",0,1,0,0
"481","Ammodytes dubius",0,1,0,0
"482","Ammodytes heian",0,1,0,0
"483","Ammodytes japonicus",0,1,0,0
"484","Ammodytes marinus",0,1,0,0
"485","Ammodytes personatus",0,1,1,1
"486","Ammodytes tobianus",0,1,0,0
"487","Ammolabrus dicrus",0,1,0,0
"488","Ammotretis rostratus",0,1,0,0
"489","Amniataba caudavittata",0,1,0,0
"490","Amniataba percoides",0,1,0,0
"491","Amoya gracilis",0,1,0,0
"492","Amoya signata",0,1,0,0
"493","Amphelikturus dendriticus",0,1,0,0
"494","Amphiarius rugispinis",0,1,0,0
"495","Amphilophus citrinellus",0,1,0,0
"496","Amphilophus labiatus",0,1,0,0
"497","Amphiprion akallopisos",0,1,0,0
"498","Amphiprion akindynos",0,1,0,0
"499","Amphiprion allardi",0,1,0,0
"500","Amphiprion barberi",0,1,0,0
"501","Amphiprion biaculeatus",0,1,0,0
"502","Amphiprion bicinctus",0,1,0,0
"503","Amphiprion chrysogaster",0,1,0,0
"504","Amphiprion chrysopterus",0,1,0,0
"505","Amphiprion clarkii",0,1,0,0
"506","Amphiprion frenatus",0,1,0,0
"507","Amphiprion melanopus",0,1,0,0
"508","Amphiprion nigripes",0,1,0,0
"509","Amphiprion ocellaris",0,1,0,0
"510","Amphiprion omanensis",0,1,0,0
"511","Amphiprion percula",0,1,0,0
"512","Amphiprion perideraion",0,1,0,0
"513","Amphiprion polymnus",0,1,0,0
"514","Amphiprion sandaracinos",0,1,0,0
"515","Amphiprion sebae",0,1,0,0
"516","Amphistichus argenteus",0,1,0,0
"517","Amphistichus koelzi",0,1,0,1
"518","Amsichthys knighti",0,1,0,0
"519","Anabarilius brevianalis",0,1,0,0
"520","Anabarilius duoyiheensis",0,1,0,0
"521","Anabarilius grahami",0,1,0,0
"522","Anabarilius liui",0,1,0,0
"523","Anabas testudineus",0,1,0,0
"524","Anableps anableps",0,1,0,0
"525","Anablepsoides amphoreus",0,1,0,0
"526","Anablepsoides atratus",0,1,0,0
"527","Anablepsoides bahianus",0,1,0,0
"528","Anablepsoides beniensis",0,1,0,0
"529","Anablepsoides christinae",0,1,0,0
"530","Anablepsoides cryptocallus",0,1,0,0
"531","Anablepsoides deltaphilus",0,1,0,0
"532","Anablepsoides gamae",0,1,0,0
"533","Anablepsoides hartii",0,1,0,0
"534","Anablepsoides henschelae",0,1,0,0
"535","Anablepsoides igneus",0,1,0,0
"536","Anablepsoides immaculatus",0,1,0,0
"537","Anablepsoides iridescens",0,1,0,0
"538","Anablepsoides jucundus",0,1,0,0
"539","Anablepsoides micropus",0,1,0,0
"540","Anablepsoides ophiomimus",0,1,0,0
"541","Anablepsoides ornatus",0,1,0,0
"542","Anablepsoides rubrolineatus",0,1,0,0
"543","Anablepsoides stagnatus",0,1,0,0
"544","Anablepsoides urophthalmus",0,1,0,0
"545","Anablepsoides urubuiensis",0,1,0,0
"546","Anablepsoides vieirai",0,1,0,0
"547","Anablepsoides waimacui",0,1,0,0
"548","Anablepsoides xinguensis",0,1,0,0
"549","Anaecypris hispanica",0,1,0,0
"550","Anampses caeruleopunctatus",0,1,0,0
"551","Anampses chrysocephalus",0,1,0,0
"552","Anampses cuvier",0,1,0,0
"553","Anampses elegans",0,1,0,0
"554","Anampses femininus",0,1,0,0
"555","Anampses geographicus",0,1,0,0
"556","Anampses lennardi",0,1,0,0
"557","Anampses lineatus",0,1,0,0
"558","Anampses melanurus",0,1,0,0
"559","Anampses meleagrides",0,1,0,0
"560","Anampses neoguinaicus",0,1,0,0
"561","Anampses twistii",0,1,0,0
"562","Anarchias seychellensis",0,1,0,0
"563","Anarchopterus criniger",0,1,0,0
"564","Anarhichas denticulatus",0,1,0,0
"565","Anarhichas lupus",0,1,0,0
"566","Anarhichas minor",0,1,0,0
"567","Anarhichas orientalis",0,1,0,0
"568","Anatolichthys anatoliae",0,1,0,0
"569","Anatolichthys danfordii",0,1,0,0
"570","Anatolichthys iconii",0,1,0,0
"571","Anatolichthys sureyanus",0,1,0,0
"572","Anatolichthys transgrediens",0,1,0,0
"573","Anatolichthys villwocki",0,1,0,0
"574","Ancherythroculter kurematsui",0,1,0,0
"575","Ancherythroculter lini",0,1,0,0
"576","Ancherythroculter nigrocauda",0,1,0,0
"577","Ancherythroculter wangi",0,1,0,0
"578","Anchoa choerostoma",0,1,0,0
"579","Anchoa compressa",0,1,0,0
"580","Anchoa delicatissima",0,1,0,0
"581","Anchoa hepsetus",0,1,0,0
"582","Anchoa lyolepis",0,1,0,0
"583","Anchoa mitchilli",0,1,0,0
"584","Anchoa spinifer",0,1,0,0
"585","Anchovia clupeoides",0,1,0,0
"586","Anchoviella jamesi",0,1,0,0
"587","Anchoviella lepidentostole",0,1,0,0
"588","Ancistrogobius yoshigoui",0,1,0,0
"589","Ancistrus cirrhosus",0,1,0,0
"590","Ancistrus dolichopterus",0,1,0,0
"591","Ancistrus hoplogenys",0,1,0,0
"592","Ancistrus martini",0,1,0,0
"593","Ancistrus pirareta",0,1,0,0
"594","Ancistrus ranunculus",0,1,0,0
"595","Ancistrus temminckii",0,1,0,0
"596","Ancylopsetta quadrocellata",0,1,0,0
"597","Andamia tetradactylus",0,1,0,0
"598","Andeancistrus eschwartzae",0,1,0,0
"599","Andeancistrus platycephalus",0,1,0,0
"600","Andinoacara biseriatus",0,1,0,0
"601","Andinoacara coeruleopunctatus",0,1,0,0
"602","Andinoacara latifrons",0,1,0,0
"603","Andinoacara pulcher",0,1,0,0
"604","Andinoacara rivulatus",0,1,0,0
"605","Andinoacara stalsbergi",0,1,0,0
"606","Anduzedoras oxyrhynchus",0,1,0,0
"607","Anematichthys repasson",0,1,0,0
"608","Anguilla anguilla",0,1,0,0
"609","Anguilla australis",0,1,0,0
"610","Anguilla bengalensis",0,1,0,0
"611","Anguilla bicolor",0,1,0,0
"612","Anguilla celebesensis",0,1,0,0
"613","Anguilla dieffenbachii",0,1,0,0
"614","Anguilla interioris",0,1,0,0
"615","Anguilla japonica",0,1,0,0
"616","Anguilla malgumora",0,1,0,0
"617","Anguilla marmorata",0,1,0,0
"618","Anguilla megastoma",0,1,0,0
