region_label,term,intercept,std_error,df,t_value,pr_t,aic,sd,blme
"Yaquina Bay, Oregon",Mean intercept,15.396,3.955,9.844,3.893,0.003,13.999,0.341,NA
"Yaquina Bay, Oregon",Mean SST,-0.3,0.307,9.752,-0.976,0.353,13.999,0.341,NA
"Yaquina Bay, Oregon",Upwelling intercept,11.109,0.653,9.673,17.004,0,16.668,0.351,NA
"Yaquina Bay, Oregon",BEUTI index,0.071,0.103,8.622,0.69,0.508,16.668,0.351,NA
"Coos Bay, Oregon",95th intercept,4.599,5.899,2.099,0.78,0.514,6.73,0.439,NA
"Coos Bay, Oregon",95th percentile SST,0.505,0.391,2.085,1.292,0.321,6.73,0.439,NA
"Coos Bay, Oregon",75th intercept,12.389,4.891,2.115,2.533,0.12,8.742,0.561,NA
"Coos Bay, Oregon",75th percentile SST,-0.013,0.353,2.072,-0.037,0.974,8.742,0.561,NA
"Coos Bay, Oregon",Mean intercept,6.472,10.587,2.008,0.611,0.603,6.596,0.524,NA
"Coos Bay, Oregon",Mean SST,0.456,0.841,2,0.542,0.642,6.596,0.524,NA
"Coos Bay, Oregon",Upwelling intercept,14.254,1.512,2.388,9.426,0.006,8.676,0.428,NA
"Coos Bay, Oregon",BEUTI index,-0.184,0.132,2.119,-1.397,0.291,8.676,0.428,NA
"Humboldt Bay, California",95th intercept,23.044,0.156,2,147.449,0,-0.848,0.001,NA
"Humboldt Bay, California",95th percentile SST,-0.719,0.003,2,-279.033,0,-0.848,0.001,NA
"Humboldt Bay, California",75th intercept,20.231,0.129,NA,156.822,NA,-1.037,0,BLME
"Humboldt Bay, California",75th percentile SST,-0.574,0,NA,-4179945.478,NA,-1.037,0,BLME
"Humboldt Bay, California",Mean intercept,32.538,0.163,2,200.003,0,-2.623,0.001,NA
"Humboldt Bay, California",Mean SST,-1.569,0.006,2,-263.108,0,-2.623,0.001,NA
"Humboldt Bay, California",Upwelling intercept,9.506,1.344,2.002,7.074,0.019,2.56,0.081,NA
"Humboldt Bay, California",BEUTI index,0.127,0.057,2.002,2.218,0.157,2.56,0.081,NA
"Bodega Bay, California",95th intercept,39.441,19.926,NA,1.979,NA,36.343,1.475,BLME
"Bodega Bay, California",95th percentile SST,-1.621,1.222,NA,-1.327,NA,36.343,1.475,BLME
"Bodega Bay, California",75th intercept,16.469,19.792,NA,0.832,NA,37.014,1.663,BLME
"Bodega Bay, California",75th percentile SST,-0.232,1.341,NA,-0.173,NA,37.014,1.663,BLME
"Bodega Bay, California",Mean intercept,25.956,15.987,NA,1.624,NA,36.535,1.607,BLME
"Bodega Bay, California",Mean SST,-0.93,1.151,NA,-0.808,NA,36.535,1.607,BLME
"Bodega Bay, California",Upwelling intercept,6.27,1.181,5.666,5.31,0.002,31.833,0.587,NA
"Bodega Bay, California",BEUTI index,0.667,0.099,3.183,6.756,0.005,31.833,0.587,NA
"San Francisco Bay, California",95th intercept,24.976,10.942,NA,2.283,NA,59.651,1.501,BLME
"San Francisco Bay, California",95th percentile SST,-0.598,0.595,NA,-1.006,NA,59.651,1.501,BLME
"San Francisco Bay, California",75th intercept,22.104,5.929,8.071,3.728,0.006,57.498,1.477,NA
"San Francisco Bay, California",75th percentile SST,-0.482,0.351,8.595,-1.373,0.205,57.498,1.477,NA
"San Francisco Bay, California",Mean intercept,21.54,4.574,12.667,4.709,0,56.948,1.438,NA
"San Francisco Bay, California",Mean SST,-0.477,0.287,12.915,-1.664,0.12,56.948,1.438,NA
"San Francisco Bay, California",Upwelling intercept,15.009,1.736,NA,8.645,NA,59.907,1.574,BLME
"San Francisco Bay, California",BEUTI index,-0.092,0.15,NA,-0.615,NA,59.907,1.574,BLME
"Morro Bay, California",95th intercept,11.364,2.573,4.16,4.416,0.011,5.899,0.258,NA
"Morro Bay, California",95th percentile SST,0.176,0.159,4.04,1.108,0.329,5.899,0.258,NA
"Morro Bay, California",75th intercept,10.809,1.807,4.225,5.983,0.003,4.642,0.216,NA
"Morro Bay, California",75th percentile SST,0.222,0.117,4.002,1.901,0.13,4.642,0.216,NA
"Morro Bay, California",Mean intercept,10.255,2.462,4.124,4.165,0.013,4.632,0.232,NA
"Morro Bay, California",Mean SST,0.269,0.167,4.003,1.612,0.182,4.632,0.232,NA
"Morro Bay, California",Upwelling intercept,14.752,0.405,2.434,36.417,0,6.339,0.2,NA
"Morro Bay, California",BEUTI index,-0.077,0.035,4.007,-2.199,0.093,6.339,0.2,NA
"Los Angeles, California",95th intercept,11.233,10.086,16.481,1.114,0.281,62.254,1.125,NA
"Los Angeles, California",95th percentile SST,0.39,0.462,16.508,0.845,0.41,62.254,1.125,NA
"Los Angeles, California",75th intercept,11.448,13.515,17.908,0.847,0.408,61.935,1.131,NA
"Los Angeles, California",75th percentile SST,0.398,0.649,17.913,0.614,0.547,61.935,1.131,NA
"Los Angeles, California",Mean intercept,29.835,12.925,16.915,2.308,0.034,61.642,1.151,NA
"Los Angeles, California",Mean SST,-0.507,0.649,16.947,-0.78,0.446,61.642,1.151,NA
"Los Angeles, California",Upwelling intercept,20.169,1.056,15.845,19.101,0,61.55,1.186,NA
"Los Angeles, California",BEUTI index,-0.348,0.872,13.716,-0.399,0.696,61.55,1.186,NA
"San Diego region, California",95th intercept,48.141,22.456,11.626,2.144,0.054,72.971,2.168,NA
"San Diego region, California",95th percentile SST,-1.242,0.983,11.571,-1.264,0.231,72.971,2.168,NA
"San Diego region, California",75th intercept,53.049,27.064,11.752,1.96,0.074,72.694,2.151,NA
"San Diego region, California",75th percentile SST,-1.51,1.228,11.709,-1.229,0.243,72.694,2.151,NA
"San Diego region, California",Mean intercept,40.663,17.335,11.801,2.346,0.037,73.578,2.145,NA
"San Diego region, California",Mean SST,-1.002,0.831,11.724,-1.205,0.252,73.578,2.145,NA
"San Diego region, California",Upwelling intercept,16.781,4.711,12.345,3.562,0.004,70.057,2.287,NA
"San Diego region, California",BEUTI index,4.691,7.345,11.995,0.639,0.535,70.057,2.287,NA
