region_label,model,type,aic,random_variance,residual_variance,term,intercept,std_error,df,t_value,pr_t
"Pacific Rim Park, British Columbia",95th percentile SST,BLME,54.048,0.08,0.402,95th percentile SST,0.32,0.416,NA,0.77,NA
"Pacific Rim Park, British Columbia",75th percentile SST,BLME,55.505,0.084,0.411,Intercept,10.789,4.225,NA,2.554,NA
"Pacific Rim Park, British Columbia",75th percentile SST,BLME,55.505,0.084,0.411,75th percentile SST,0.018,0.276,NA,0.063,NA
"Pacific Rim Park, British Columbia",Mean SST,BLME,53.918,0.081,0.411,Intercept,9.003,8.318,NA,1.082,NA
"Pacific Rim Park, British Columbia",Mean SST,BLME,53.918,0.081,0.411,Mean SST,0.143,0.581,NA,0.247,NA
"Puget Sound & Padilla Bay, Washington",95th percentile SST,LME,50.258,0.126,0.173,Intercept,11.11,1.147,29.908,9.69,0
"Puget Sound & Padilla Bay, Washington",95th percentile SST,LME,50.258,0.126,0.173,95th percentile SST,0.037,0.07,29.494,0.524,0.604
"Puget Sound & Padilla Bay, Washington",75th percentile SST,LME,50.605,0.122,0.175,Intercept,11.318,0.935,29.91,12.104,0
"Puget Sound & Padilla Bay, Washington",75th percentile SST,LME,50.605,0.122,0.175,75th percentile SST,0.026,0.061,29.331,0.421,0.677
"Puget Sound & Padilla Bay, Washington",Mean SST,LME,49.628,0.126,0.174,Intercept,11.131,1.399,28.891,7.956,0
"Puget Sound & Padilla Bay, Washington",Mean SST,LME,49.628,0.126,0.174,Mean SST,0.042,0.101,29.434,0.414,0.682
"Willapa Bay, Washington",95th percentile SST,LME,40.913,0.323,0.233,Intercept,10.822,2.253,15.895,4.803,0
"Willapa Bay, Washington",95th percentile SST,LME,40.913,0.323,0.233,95th percentile SST,0.084,0.126,15.871,0.665,0.515
"Willapa Bay, Washington",75th percentile SST,LME,41.055,0.279,0.253,Intercept,11.785,2.302,17.647,5.119,0
"Willapa Bay, Washington",75th percentile SST,LME,41.055,0.279,0.253,75th percentile SST,0.031,0.138,17.619,0.224,0.825
"Willapa Bay, Washington",Mean SST,LME,40.698,0.256,0.26,Intercept,13.207,2.47,17.793,5.347,0
"Willapa Bay, Washington",Mean SST,LME,40.698,0.256,0.26,Mean SST,-0.059,0.158,17.762,-0.371,0.715
"Willapa Bay, Washington",Upwelling,LME,35.517,0.184,0.265,Intercept,9.229,2.433,17.752,3.793,0.001
"Willapa Bay, Washington",Upwelling,LME,35.517,0.184,0.265,BEUTI index,1.381,1.101,17.584,1.254,0.226
"Yaquina Bay, Oregon",95th percentile SST,LME,11.332,0.107,0.086,Intercept,15.398,4.326,9.547,3.559,0.006
"Yaquina Bay, Oregon",95th percentile SST,LME,11.332,0.107,0.086,95th percentile SST,-0.255,0.283,9.477,-0.9,0.39
"Yaquina Bay, Oregon",75th percentile SST,LME,10.501,0.108,0.08,Intercept,16.717,4.358,9.274,3.835,0.004
"Yaquina Bay, Oregon",75th percentile SST,LME,10.501,0.108,0.08,75th percentile SST,-0.378,0.316,9.21,-1.196,0.261
"Yaquina Bay, Oregon",Mean SST,LME,12.047,0.107,0.092,Intercept,13.03,3.547,9.705,3.674,0.005
"Yaquina Bay, Oregon",Mean SST,LME,12.047,0.107,0.092,Mean SST,-0.118,0.275,9.609,-0.43,0.677
"Yaquina Bay, Oregon",Upwelling,LME,14.161,0.106,0.091,Intercept,11.814,0.568,9.936,20.801,0
"Yaquina Bay, Oregon",Upwelling,LME,14.161,0.106,0.091,BEUTI index,-0.051,0.089,8.511,-0.571,0.583
"Coos Bay, Oregon",95th percentile SST,LME,8.385,0.337,0.347,Intercept,1.092,7.905,2.107,0.138,0.902
"Coos Bay, Oregon",95th percentile SST,LME,8.385,0.337,0.347,95th percentile SST,0.732,0.524,2.096,1.397,0.292
"Coos Bay, Oregon",75th percentile SST,LME,10.567,0.476,0.595,Intercept,11.616,6.714,2.119,1.73,0.219
"Coos Bay, Oregon",75th percentile SST,LME,10.567,0.476,0.595,75th percentile SST,0.037,0.485,2.079,0.076,0.946
"Coos Bay, Oregon",Mean SST,LME,8.286,0.5,0.493,Intercept,2.541,14.18,2.008,0.179,0.874
"Coos Bay, Oregon",Mean SST,LME,8.286,0.5,0.493,Mean SST,0.762,1.127,2,0.676,0.569
"Coos Bay, Oregon",Upwelling,LME,10.393,0.304,0.34,Intercept,15.035,2.047,2.379,7.344,0.011
"Coos Bay, Oregon",Upwelling,LME,10.393,0.304,0.34,BEUTI index,-0.262,0.179,2.137,-1.463,0.273
"Humboldt Bay, California",95th percentile SST,LME,-1.05,0.075,0,Intercept,28.933,0.164,2,176.925,0
"Humboldt Bay, California",95th percentile SST,LME,-1.05,0.075,0,95th percentile SST,-1.111,0.003,2,-401.557,0
"Humboldt Bay, California",75th percentile SST,BLME,-0.009,0.084,0,Intercept,22.523,0.167,NA,134.689,NA
"Humboldt Bay, California",75th percentile SST,BLME,-0.009,0.084,0,75th percentile SST,-0.734,0,NA,-3606239.409,NA
"Humboldt Bay, California",Mean SST,LME,-1.869,0.09,0,Intercept,38.076,0.21,2,180.897,0
"Humboldt Bay, California",Mean SST,LME,-1.869,0.09,0,Mean SST,-1.994,0.009,2,-212.266,0
"Humboldt Bay, California",Upwelling,LME,3.502,0.085,0.014,Intercept,8.515,1.954,2.007,4.358,0.049
"Humboldt Bay, California",Upwelling,LME,3.502,0.085,0.014,BEUTI index,0.174,0.083,2.007,2.084,0.172
"Bodega Bay, California",95th percentile SST,BLME,49.119,0.908,1.812,Intercept,30.397,10.67,NA,2.849,NA
"Bodega Bay, California",95th percentile SST,BLME,49.119,0.908,1.812,95th percentile SST,-1.078,0.659,NA,-1.637,NA
"Bodega Bay, California",75th percentile SST,BLME,49.175,0.698,2.037,Intercept,27.546,12.29,NA,2.241,NA
"Bodega Bay, California",75th percentile SST,BLME,49.175,0.698,2.037,75th percentile SST,-1.011,0.851,NA,-1.188,NA
"Bodega Bay, California",Mean SST,BLME,48.267,0.655,1.809,Intercept,28.664,9.013,NA,3.18,NA
"Bodega Bay, California",Mean SST,BLME,48.267,0.655,1.809,Mean SST,-1.152,0.66,NA,-1.745,NA
"Bodega Bay, California",Upwelling,LME,90.647,1.196,0.946,Intercept,8.72,0.981,25.915,8.892,0
"Bodega Bay, California",Upwelling,LME,90.647,1.196,0.946,BEUTI index,0.415,0.085,21.473,4.861,0
"San Francisco Bay, California",95th percentile SST,BLME,38.592,2.726,1.918,Intercept,27.423,14.739,NA,1.861,NA
"San Francisco Bay, California",95th percentile SST,BLME,38.592,2.726,1.918,95th percentile SST,-0.688,0.775,NA,-0.888,NA
"San Francisco Bay, California",75th percentile SST,BLME,36.479,1.978,1.318,Intercept,28.719,6.329,NA,4.537,NA
"San Francisco Bay, California",75th percentile SST,BLME,36.479,1.978,1.318,75th percentile SST,-0.819,0.358,NA,-2.289,NA
"San Francisco Bay, California",Mean SST,BLME,37.159,1.832,1.367,Intercept,24.337,4.658,NA,5.225,NA
"San Francisco Bay, California",Mean SST,BLME,37.159,1.832,1.367,Mean SST,-0.605,0.278,NA,-2.177,NA
"San Francisco Bay, California",Upwelling,BLME,41.289,2.154,2.083,Intercept,13.97,2.418,NA,5.777,NA
"San Francisco Bay, California",Upwelling,BLME,41.289,2.154,2.083,BEUTI index,0.042,0.235,NA,0.181,NA
"Morro Bay, California",95th percentile SST,LME,4.492,0.166,0.048,Intercept,11.495,2.2,4.178,5.226,0.006
"Morro Bay, California",95th percentile SST,LME,4.492,0.166,0.048,95th percentile SST,0.168,0.136,4.033,1.237,0.283
"Morro Bay, California",75th percentile SST,LME,2.748,0.153,0.03,Intercept,10.965,1.457,4.298,7.524,0.001
"Morro Bay, California",75th percentile SST,LME,2.748,0.153,0.03,75th percentile SST,0.211,0.094,4.002,2.258,0.087
"Morro Bay, California",Mean SST,LME,2.879,0.152,0.036,Intercept,10.399,2.016,4.159,5.158,0.006
"Morro Bay, California",Mean SST,LME,2.879,0.152,0.036,Mean SST,0.259,0.136,4.002,1.9,0.13
"Morro Bay, California",Upwelling,LME,4.391,0.167,0.025,Intercept,14.716,0.358,2.037,41.128,0.001
"Morro Bay, California",Upwelling,LME,4.391,0.167,0.025,BEUTI index,-0.073,0.028,4.005,-2.591,0.061
"Los Angeles, California",95th percentile SST,LME,58.776,0.399,0.947,Intercept,1.253,10.77,14.927,0.116,0.909
"Los Angeles, California",95th percentile SST,LME,58.776,0.399,0.947,95th percentile SST,0.806,0.494,14.934,1.634,0.123
"Los Angeles, California",75th percentile SST,LME,58.204,0.371,0.975,Intercept,-4.97,15.615,15.622,-0.318,0.754
"Los Angeles, California",75th percentile SST,LME,58.204,0.371,0.975,75th percentile SST,1.141,0.748,15.632,1.525,0.147
"Los Angeles, California",Mean SST,LME,59.424,0.278,1.076,Intercept,33.14,12.761,14.46,2.597,0.021
"Los Angeles, California",Mean SST,LME,59.424,0.278,1.076,Mean SST,-0.718,0.641,14.485,-1.12,0.281
"Los Angeles, California",Upwelling,LME,60.135,0.168,1.221,Intercept,19.15,0.998,15.868,19.187,0
"Los Angeles, California",Upwelling,LME,60.135,0.168,1.221,BEUTI index,-0.252,0.816,13.178,-0.309,0.762
"San Diego region, California",95th percentile SST,LME,69.273,0.645,3.847,Intercept,42.213,18.46,12.248,2.287,0.041
"San Diego region, California",95th percentile SST,LME,69.273,0.645,3.847,95th percentile SST,-1.015,0.809,12.195,-1.255,0.233
"San Diego region, California",75th percentile SST,LME,68.715,0.708,3.782,Intercept,48.255,22.407,12.024,2.154,0.052
"San Diego region, California",75th percentile SST,LME,68.715,0.708,3.782,75th percentile SST,-1.329,1.02,11.987,-1.303,0.217
"San Diego region, California",Mean SST,LME,69.852,0.776,3.878,Intercept,35.974,15.549,12.042,2.314,0.039
"San Diego region, California",Mean SST,LME,69.852,0.776,3.878,Mean SST,-0.814,0.748,11.979,-1.089,0.298
"San Diego region, California",Upwelling,LME,66.468,0.488,4.346,Intercept,17.437,4.253,12.825,4.1,0.001
"San Diego region, California",Upwelling,LME,66.468,0.488,4.346,BEUTI index,2.521,6.638,12.583,0.38,0.71
