seagrass_yes,seagrass_maybe,found_taxa,species,f_bname,comments,ana_cat,depth_range_shallow,depth_range_deep,tide_pools,littoral_zone,sub_littoral,intertidal,oceanic,estuaries,lagoons,stream,lakes,soft_bottom,hard_bottom,sand,silt,mud,sea_grass_beds,macrophyte,coral_reefs,vegetation,boat_hulls,pilings,crevices,burrows,add_rems,habitats_ref,special_habitat_ref,habitat_vegetation,habitat_substrate,habitat_features,ana_cat_lit,el_nino_north,introduced,source,notes,comment_eelgrass
NA,x,Mugil cephalus,Mugil cephalus,Flathead grey mullet,"Adults are found in coastal waters (Ref. 2850, 44894, 57400), often entering estuaries and rivers (Ref. 2847, 3573, 11230, 44894, 57400), sometimes far-up-river, lagoons and hypersaline environments (Ref. 57400).  They are usually in schools over sand or mud bottom (Ref. 2850), between 0 and 10 m, occurring equally in tropical, subtropical and temperate waters (Project MUGIL).  They are mainly diurnal, feeding on detritus, micro-algae and benthic organisms (Ref. 56548, 74902, 74760).  Juveniles feed on zooplankton until about 3.0 cm SL (Ref. 59043).  Reproduction takes place at sea, at various times of the year depending on the location (Ref. 74907, Amour).  Adults form schools and migrate offshore to spawn and developing larvae migrate back inshore (Ref. 81659). There is absence of an obligatory freshwater phase in the life cycle (Ref. 74752).   Females spawn 0.8 to 2.6 million eggs which develop at sea (Ref. 74912, Chen & Su 1986).  Sexually mature at 3 to 4 years (Ref. 74902).  Maximum length reported as 120 cm SL (Ref. 7399, 57400, 81659) remains to be confirmed (Project MUGIL).  Maximum weight reported as 12 kg (Ref. 56527) seems too high for the area and remains to be confirmed (Project MUGIL).  Widely cultivated in freshwater and brackish ponds (Ref. 2847, Jackson 1984, Liao 1981).  Marketed fresh, dried, salted, and frozen; roe sold fresh or smoked (Ref. 9321); also used in Chinese medicine (Ref. 12166).",catadromous,0,120,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,0,0,0,0,"Can survive in freshwater but does not breed in it (Ref. 4967).  In some areas such as Shark Bay and the Houtman Abrolhos in Western Australia, adults live in marine waters throughout the year.  This behaviour seems to occur only where estuarine and freshwater habitats are limited (Ref. 28722).  A small proportion (probably about 5%) (Ref. 28722) of older juveniles may leave the estuaries and migrate along the beaches in early summer.  The migration may be associated with flooding of rivers and is referred to as the 'hardgut' migration because the mullets' guts are empty (Ref. 28722).  Migrating sea mullet do not feed during either the 'hardgut' migration or spawning migration (Ref. 6390).  Feed on zooplankton, benthic invertebrates, microalgae, and detritus (Ref. 11889).  Undergo ontogenic shift in diet (Ref. 41769).  Small mullet (< 4 cm SL) feed exclusively on sediment by browsing.  Large mullet (< 4 cm SL) have been observed to feed by grazing on the sediment (Ref. 41769).  Changes in the feeding habits from planktonic organisms and migratory zooplankton to meiobenthos which takes place between 0.1 and 0.2 cm length, and a switch from meiobenthos to microbenthos between 0.15 and 0.25 cm length (Ref. 56101).  Sea mullet normally feed close to the river bed in shallow water, but do move throughout the water column in river channels and individuals often jump high out of the water (Ref. 6390).  Sea mullet have a strong tendency to school as juveniles and during the spawning season as adults.  Feeding schools of juveniles commonly disperse over sand and mud flats of estuaries during high tide and reform on the ebb tide (Ref. 28722).  Presence of sharp pointed teeth  that enable the species to select fine material (Ref. 74863).
In southwestern Australia, <i>Mugil cephalus</i> is a dominant finfish in the middle and upper estuaries especially in winter and spring - up to 95% of frequency of occurrence (Lonengan & Potter 1990).  Has a short, well-defined juvenile recruitment period; although found in freshwater, occurs in far greater numbers in all areas of estuaries and is common in the sea (Ref. 74748, 74749).  Gill-raker filaments were found in the stomach captured using gill net.  Mullets struggle to be free of the constricting meshes, food is often regurgitated at an early stage, subsequent gasping of oxygen would then easily cause gill-rakers, broken loose in the struggle, to be swalowed (Ref. 74739). 
Also Refs. 12676, 26213.",4887,58534,NA,NA,NA,NA,NA,NA,NA,NA,2
NA,x,Platichthys stellatus,Platichthys stellatus,Starry flounder,"Found inshore, often in very shallow water and in estuaries during the summer; moving into deeper water in the winter (Ref. 27547).  However, they may occur in deep water throughout the year (Ref. 27547).  Does not venture into water of high salinities (Ref. 28899).  Young and adults move up rivers, as much as 120 km (Ref. 27547).  Benthic (Ref. 58426).  Feeds on crustaceans, worms, small mollusks, brittle stars, and small fishes (Ref. 6885).  Important game fish (Ref. 2850).  Utilized fresh and frozen; eaten steamed, fried, boiled, microwaved, and baked (Ref. 9988).",catadromous,0,375,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Euryhaline, can exist in freshwater lagoons and river mouths, sometimes moving very far upstream. Occurs mainly in the upper sublittoral zone (Ref. 9013).  Found inshore, often in very shallow water and in estuaries during the summer; moving into deeper water in the winter (Ref. 27547).  However, they may occur in deep water throughout the year (Ref. 27547).  Does not venture into water of high salinities (Ref. 28899).  Young and adults move up rivers, as much as 120 km (Ref. 27547).  Benthic (Ref. 58426).  Feeds on crustaceans, worms, small mollusks, brittle stars, and small fishes (Ref. 6885).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,x,Sardinops sagax,Sardinops sagax,South American pilchard,"Neritic (Ref. 11230).  A coastal species that forms large schools (Ref. 188).  Occur at temperatures ranging from 16° to 23°C in summer and from 10° to 18°C in winter.  Feed mainly on planktonic crustaceans.  Young fish feed on zooplankton such as copepod and adults on phytoplankton (Ref. 39882).  Oviparous, with pelagic eggs, and pelagic larvae (Ref. 265).  Possibly can live up to 25 years (Ref. 265).  In the California region, pilchards make northward migrations early in summer and travel back south again in autumn.  With each year of life, the migration becomes farther (Ref. 6885).  Marketed fresh, frozen or canned.  Utilized mainly for fish meal; but also eaten fried and broiled (Ref. 9988).  Main source of landing:  NE Pacific:  Mexico (Ref. 4931).",oceanodromous,0,200,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"In South America it is caught down to depths of about 40 m, in summer at 16 to 23 C, in winter at 10 to 18 C.  Forms large schools in the Peru current.  Likewise in North America, it forms large schools, up to 10 million individuals; it is migratory with a definite northward movement between California and British Columbia waters in summer and return in autumn, winter.  Zooplankton and phytoplankton feeder.  Food items of larvae and early juveniles consist of copepods and larvaceans (Ref. 32837).  Young fish feeds on zooplankton such as copepods and adults on phytoplankton (Ref. 39882).  Employs both filter- and particulate-feeding modes on phytoplankton and zooplankton (Ref. 42392).",188,NA,NA,NA,"Wharves docks breakwaters, pelagic nearshore",NA,NA,NA,"Hart, Lamb & Edgell 2010","Complex migration, increasing population in Pacific Northwest",NA
x,NA,Pholis ornata,Pholis ornata,Saddleback gunnel,"Found in inshore areas, on mud bottoms among eelgrass and seaweed (Ref. 2850).  Feeds on small mollusks and crustaceans (Ref. 2850).  Both male and female guard egg mass (Ref. 2850).",NA,0,50,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2850,NA,Eelgrass,NA,NA,NA,NA,NA,Lamb & Edgell 2010,NA,1
NA,NA,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,Chinook salmon,"Adults return to natal streams from the sea  to spawn (Ref. 27547).  Fry may migrate to the sea after only 3 months in fresh water, some may stay for as long as 3 years, but generally most stay a year in the stream before migrating (Ref. 27547).  Some individuals remain close inshore throughout their lives, but some make extensive migrations (Ref. 27547, 44894).  Also found in lakes (Ref. 1998).  Possibly up to 375 m depth (Ref. 6793).  Epipelagic (Ref. 58426).  Food in streams is mainly terrestrial insects and small crustaceans; in the sea, major food items include fishes, crustaceans, and other invertebrates (Ref. 27547).  Young are preyed upon by fishes and birds (such as mergansers and kingfishers); adults are prey of large mammals and large birds (Ref. 1998).  Highly regarded game fish (Ref. 27547).  Flesh is usually red, but some are white; the red meat commands a higher price (Ref. 27547).  Marketed fresh, smoked, frozen, and canned.  Eaten steamed, fried, broiled, boiled, microwaved, and baked (Ref. 9988).  Viscera said to contain high vitamin A content and used successfully as food for hatchery fish (Ref. 28971, 28977).",anadromous,0,375,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adults return to natal streams from the sea  to spawn (Ref. 27547).  Fry may migrate to the sea after only 3 months in fresh water, some may stay for as long as 3 years, but generally most stay a year in the stream before migrating (Ref. 27547).  Some individuals remain close inshore throughout their lives, but some make extensive migrations (Ref. 27547, 44894).",52559,NA,Kelp beds,NA,NA,NA,NA,NA,Lamb & Edgell 2010,NA,NA
NA,x,Hexagrammos decagrammus,Hexagrammos decagrammus,Kelp greenling,"Occurs in rocky inshore areas, common on kelp beds, also on sand bottoms (Ref. 2850).  Feeds on crustaceans, polychaete worms, brittle stars, mollusks, and small fishes (Ref. 28499).  Young are food of steelheads and salmon (Ref. 6885).  Frequently caught by shore and skiff fishers and speared by divers (Ref. 2850).",NA,NA,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6885,NA,Kelp beds,"rocky inshore areas, sand bottom",Young in tide pools,NA,NA,NA,"Eschmeyer, Lamb & Edgell 2010",NA,2
x,x,Ophiodon elongatus,Ophiodon elongatus,Lingcod,"Ranges from the intertidal to 475 m depth (Ref. 6793).  Adults are found near rocks, inshore and to 427 m (Ref. 2850).  Young occur on sand or mud bottom of bays and inshore areas (Ref. 2850).  Both migratory and non-migratory populations exist (Ref. 6885).  Adults feed mostly on other fishes but also take crustaceans, octopi and squid (Ref. 4925).  Young feed on copepods and other small crustaceans (Ref. 6885).  A very important sport and commercial species (Ref. 2850).  The liver is rich in vitamin A (Ref. 6885).  Marketed fresh and frozen; eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).  Has sharp teeth and gill rakers that can cut fingers if handled.",oceano-estuarine,0,475,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,"A voracious carnivore; feeds on fishes, crustaceans, octopi and squids (Ref. 2850, 48751).",2850,NA,First year juveniles in eelgrass,"Adults on rocky, young on sand or mud","Bays, inshore",NA,NA,NA,"Eschmeyer, Lamb & Edgell 2010",NA,NA
NA,x,Gibbonsia montereyensis,Gibbonsia montereyensis,Crevice kelpfish,"Occurs in inshore rocky areas in algae, usually on exposed coast.",NA,NA,21,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,"Occurs in inshore rocky areas in algae, usually on exposed coast.",41832,NA,Seaweed,NA,Exposed rocky shores,NA,NA,NA,"Hart, Lamb & Edgell 2010","Difficult to observe, camouflage",2
NA,NA,Brachyistius frenatus,Brachyistius frenatus,Kelp perch,"Found among giant kelp, usually up in kelp canopy.  Feed on small crustaceans, especially ones that live on kelp.  Also a cleaner which picks external parasites from other fishes.  Usually occur in large aggregations in summer (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205).",NA,NA,30,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2850,NA,Kelp beds,NA,NA,NA,NA,NA,Lamb & Edgell 2010,NA,NA
x,x,Lepidogobius lepidus,Lepidogobius lepidus,Bay goby,Found mostly on mud bottom; from intertidal to 201 m depth.  Oviparous (Ref. 56079).  Eggs are found attached to the walls of burrows (Ref. 56079).,NA,0,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eelgrass, sea lettuce","Muddy, silty bottoms, sand",Shallow,NA,NA,NA,"Hart, Lamb & Edgell 2010",NA,NA
NA,x,Trachurus symmetricus,Trachurus symmetricus,Pacific jack mackerel,"Adults are often found offshore, up to 500 miles from the coast (Ref. 9283).  They form large schools (Ref. 2850).  Young frequently occur in school near kelp and under piers (Ref. 2850).  They feed mainly on small crustaceans and fish larvae (Ref. 9283).  Large individuals often move inshore and north in the summer (Ref. 2850).  Marketed fresh, smoked, canned and frozen; eaten fried, broiled and baked (Ref. 9988).",oceanodromous,0,400,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Often found offshore, up to 500 miles from the coast (Ref. 9283).  Forms large schools (Ref. 2850).  Young frequently occur in school near kelp and under piers (Ref. 2850).  Feeds mainly on small crustaceans and fish larvae (Ref. 9283).  Large individuals often move inshore and north in the summer (Ref. 2850).",6262,NA,Juveniles kelp,NA,"Pelagic, juveniles around piers, surface",NA,BC,NA,Lamb & Edgell 2010,NA,NA
NA,x,Embiotoca lateralis,Embiotoca lateralis,Striped seaperch,"Adults occur in rocky coasts and kelp beds, occasionally in sandy surf near rocks (Ref. 2850).  Feed on small crustaceans, worms, and mussels; occasionally on herring eggs (Ref. 4925).  Viviparous, female carries the developing young (Ref. 205).",NA,NA,21,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,Forages only during the day (Ref. 33994).,2850,NA,Seaweed,NA,Rocks in shallow areas,NA,NA,NA,Lamb & Edgell 2010,NA,NA
x,NA,Paralabrax maculatofasciatus,Paralabrax maculatofasciatus,Spotted sand bass,"Usually found on sand or mud bottom near rocks and eelgrass, from the coast to a depth of 60 m.  A secretive species, it feeds on small fishes and benthic crustaceans during the day (Ref. 9342).  Capable of tolerating ample fluctuations of temperature (from 7.5 to 32°C) and survive extreme cold intervals (Ref. 9342).  Pelagic spawners (Ref. 56049).  Important game fish caught in bays and harbors (Ref. 9342).  Minimum depth range based on occurrence (Ref. 79604).",NA,1,61,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4930,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,x,Quietula y-cauda,Quietula y-cauda,American shadow goby,Found in mud flats of lagoons and river mouths.  Sometimes occurs in worm or shrimp burrows.  Oviparous (Ref. 56079).  Males guard the eggs which are found attached to the walls of burrows (Ref. 56079).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mud flats, worm or shrimp burrows","Lagoons, river mouths",NA,NA,NA,Eschmeyer,NA,NA
NA,x,Phanerodon vacca,Phanerodon vacca,Pile perch,"Adults occur in rocky shores, often around kelp, pilings and underwater structures (Ref. 2850).  Feed on hard-shelled mollusks, crabs and barnacles (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205).",NA,NA,46,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,Forages only during the day (Ref. 33994).,2850,NA,NA,NA,"Nearshore, shallow reefs, shorelines, old piers",NA,NA,NA,"Hart, Lamb & Edgell 2010",NA,NA
NA,x,Engraulis mordax,Engraulis mordax,Californian anchovy,"Usually found in coastal waters within about 30 km from shore, but as far out as 480 km, forming large, tightly packed schools.  Enters bays and inlets.  Feeds on euphausiids, copepods and decapod larvae, both by random filter-feeding and by 'pecking' at prey. Oviparous, epipelagic batch spawner (Ref. 6882).  Spawns throughout the year, peaking once (Ref. 6882).  Processed into fishmeal, used as bait for tuna, occasionally canned (Ref. 9298).",NA,0,310,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coastal species occurring within 30 km offshore, but may be found as far as 480 km offshore and down to 219 m depth. Forms tightly packed schools;  enters bays and inlets (e.g., to about 2 km up Newport Bay, mainly in July and September - (Ref. 6361).  Feeds both by random filter- and particulate-feeding (Ref. 42392). Moves up near the surface at night.",189,NA,NA,NA,"Around wharves, coastal nearshore",NA,NA,NA,Lamb & Edgell 2010,Large schools,NA
